model	variant	covariate_policy	changed_ev_columns	n_evs	design_rank	expected_zstats	source_production_fsf	sub144_repaired_l2	standard_image	collected_design_dir	design.fsf_sha256	design.mat_sha256	design.con_sha256	design.grp_sha256
dmn-age	image-only	production_all_group_covariates		6	6	4	/ZPOOL/data/projects/srndna-ultimatum/results/reviewer/production_audits/dmn-age/design/design.fsf	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	/usr/local/fsl/data/standard/MNI152_T1_2mm_brain.nii.gz	dmn-age/image-only	b7b05f2e437e984faeaaf42a05c1c34f9fd23a984e2a1ae92567535bf9b38e92	b35a34af1b5a4cb538c6c0fb5b9125e916938fe1efc4401ce7a979a6f68681ae	260fd04d09eb12e69af430595e7bbeefecf9e8c4abb71508dbca582da7915be9	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
dmn-age	reported-covariates-corrected	event_corrected_taskwide_mean_rt	6	6	6	4	/ZPOOL/data/projects/srndna-ultimatum/results/reviewer/production_audits/dmn-age/design/design.fsf	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	/usr/local/fsl/data/standard/MNI152_T1_2mm_brain.nii.gz	dmn-age/reported-covariates-corrected	24ca411b641832b72490539ff79baff2e80d961103b94844f62180822ade1141	4e038a2844f7d5e0003355481a611d7a341728de3b7ebacfdb6d6244bd2b17be	53566418b2f7e99c0eac90d8e42567b75bb6f956fda6f377be35cf60bb345024	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
ecn-sensitivity	image-only	production_all_group_covariates		8	8	8	/ZPOOL/data/projects/srndna-ultimatum/results/reviewer/production_audits/ecn-sensitivity/design/design.fsf	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-ecn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	/usr/local/fsl/data/standard/MNI152_T1_2mm_brain.nii.gz	ecn-sensitivity/image-only	47c216dd7e57105bb73b133d94aa3ab3fdbb594c3300cc25ce9e526de2dd2dcd	a91c6f46c9f421d0ef352a6030dd6c19d3b58f78c6119a61ae1ef6ed26c610bc	b2910298424e81a48dc5cdc892ebcfcacb6e0af8be9a6afc788111a9421ac3ea	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
ecn-sensitivity	reported-covariates-corrected	event_corrected_taskwide_mean_rt;event_corrected_fairness_sensitivity	4,7,8	8	8	8	/ZPOOL/data/projects/srndna-ultimatum/results/reviewer/production_audits/ecn-sensitivity/design/design.fsf	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-ecn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	/usr/local/fsl/data/standard/MNI152_T1_2mm_brain.nii.gz	ecn-sensitivity/reported-covariates-corrected	832e41d3dab5d5c2334c72e0f6c59ad7c21304b33cc28f806bfac026554ca5bd	db35e3cce6a54a4e6e0769521fab780ae3eba0d7d8b034a22710d5634ad60b1f	3f5ecfca902fc6f4cdac538b468897367f90e655140efca3106660d0dc36cea7	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
activation-norm	image-only	production_all_group_covariates		8	8	8	/ZPOOL/data/projects/srndna-ultimatum/results/reviewer/production_audits/activation/design/design.fsf	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	/usr/local/fsl/data/standard/MNI152_T1_2mm_brain.nii.gz	activation-norm/image-only	bf01122eda7724f40af908c26378b31de39c51eb54d4cbae0e92fe09eee8e0cc	145350c56578bff2d7543dbb90645f5a61846796d54a20904aaa8bc93d45c6fe	ddb3294d73b2e4c1c0eb6228891700f26f5ef647c90065cb4128f87510a3f8d4	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
activation-norm	reported-covariates-corrected	event_corrected_taskwide_mean_rt;event_corrected_fairness_norm_proxy	4,7,8	8	8	8	/ZPOOL/data/projects/srndna-ultimatum/results/reviewer/production_audits/activation/design/design.fsf	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	/usr/local/fsl/data/standard/MNI152_T1_2mm_brain.nii.gz	activation-norm/reported-covariates-corrected	d2c5bf59b73561727ad96e16486c0eb122802c62d3e6dbe083d6815028430297	0ca4e94048ae5f38d3124363bc7d51d8208fe5b8522b0f8ea87a80b16af5bfca	f18dc158e96eb8f20c11bbf47622eef9a960070c3d8118fe9f37101248030843	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
