model	source_cope	kind	source	destination	exists	bytes	sha256
social_offer_slope	8	design	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/design.fsf	social_offer_slope/design/design.fsf	1	51052	04e3d0a3d348da2be4c1277266a8869683d1f9ce619a6fcb8cba5b0147f8fd87
social_offer_slope	8	design	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/design.mat	social_offer_slope/design/design.mat	1	3961	28883a0889a0e28c3a42fdff0196320baa4280554fc2c395a3028a7a47ad875b
social_offer_slope	8	design	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/design.con	social_offer_slope/design/design.con	1	624	e5469fe7e1174d3ea23a4d9b7d70fc9ec323b31e844ad2e6ea1772a81a95a365
social_offer_slope	8	design	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/design.grp	social_offer_slope/design/design.grp	1	129	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
social_offer_slope	8	poststats	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/mask.nii.gz	social_offer_slope/poststats/mask.nii.gz	1	6532	12777cdd6c1a4a34e1c86b5f0e1f0664601b2b735b7578826db61d77084d71e6
social_offer_slope	8	poststats	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/stats/smoothness	social_offer_slope/poststats/smoothness	1	106	25192a2d35c3a3add7929a4da07701a4dfa8847c0488a49fb92e8dd0c98336ff
social_offer_slope	8	contrast1	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/stats/cope1.nii.gz	social_offer_slope/contrast1/cope1.nii.gz	1	229885	2e11a34d2884e9939ed882e5e6019aff94e531a9fd8e2aaffcf7804df2d5dd94
social_offer_slope	8	contrast1	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/stats/varcope1.nii.gz	social_offer_slope/contrast1/varcope1.nii.gz	1	221607	27e2b38150da00e7010fcc7233d735eac24ef81795c7a8cf674673367bc3a338
social_offer_slope	8	contrast1	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/stats/zstat1.nii.gz	social_offer_slope/contrast1/zstat1.nii.gz	1	229173	20203b8ceac0b8c5bfbba84c2c4fad92acbebbd52e17896370890e004c1cc713
social_offer_slope	8	contrast1	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/thresh_zstat1.nii.gz	social_offer_slope/contrast1/thresh_zstat1.nii.gz	1	17732	85aa7db39ab872cc96473c173f4a1343dae61bcdca563318d7a34ab025ebcf9d
social_offer_slope	8	contrast1	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/cluster_mask_zstat1.nii.gz	social_offer_slope/contrast1/cluster_mask_zstat1.nii.gz	1	1472	42062dcfd854e9218fb7dc4a9dae000dacb773fccab0e6c46198554e48753963
social_offer_slope	8	contrast1	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/cluster_zstat1_std.txt	social_offer_slope/contrast1/cluster_zstat1_std.txt	1	266	9a77ae8dc015c4876d1baa586be6c345645bc6677a1fa279d788e3b2a566f2a7
social_offer_slope	8	contrast2	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/stats/cope2.nii.gz	social_offer_slope/contrast2/cope2.nii.gz	1	229884	39ba7d1f6e6ff7357b66a3976737a56027a1e933cff0565ff508a81f1a080438
social_offer_slope	8	contrast2	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/stats/varcope2.nii.gz	social_offer_slope/contrast2/varcope2.nii.gz	1	221607	27e2b38150da00e7010fcc7233d735eac24ef81795c7a8cf674673367bc3a338
social_offer_slope	8	contrast2	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/stats/zstat2.nii.gz	social_offer_slope/contrast2/zstat2.nii.gz	1	229183	7a65db3bc5d01c5691cdf948c83cfdcecd9cc048e85c836ec9c9cf55cb4b9684
social_offer_slope	8	contrast2	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/thresh_zstat2.nii.gz	social_offer_slope/contrast2/thresh_zstat2.nii.gz	1	18286	b048a2abaf5ad54796bf60913e0b6e980e2e93082542c82957c3c2419bf84948
social_offer_slope	8	contrast2	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/cluster_mask_zstat2.nii.gz	social_offer_slope/contrast2/cluster_mask_zstat2.nii.gz	1	1411	b62982592002fd4c4a46ccf161ac8f5674159fefacf2c168bc84ac916b09092a
social_offer_slope	8	contrast2	/ZPOOL/data/scratch/srndna-ultimatum-social-computer-l3-v1/outputs/social-offer-slope.gfeat/cope1.feat/cluster_zstat2_std.txt	social_offer_slope/contrast2/cluster_zstat2_std.txt	1	184	de4e9efaa1c9e8fb2f6900fb2b135f48c44af33be750393b1b6bfae3ff2c512b
