mask_id	mask_path	mask_sha256	exact_match_count	support_match_count	match_method	focal_voxels	cluster_label	cluster_voxels	overlap_voxels	focal_overlap_fraction	cluster_overlap_fraction	dice	jaccard	search_root	matched_cluster_mask	cluster_mask_modified_utc	zstat_index	gfeat_path	cope_dir	npts	mixed_yn	robust_yn	z_thresh	prob_thresh	input_count	unique_participants	sub144_input_indices	sub144_input_paths	source_copes	design_fsf_sha256	design_mat_sha256	design_con_sha256	design_grp_sha256	smoothness_path	dlh	volume	resels	cluster_table_path	cluster_table_sha256
dmn_age	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/dmn_p_in-out_y-o.nii.gz	2b09578d66e14e8c3c44ba0c7871a4987fb99150509e4b42b709e63de923896c	0	4	partial_cluster_overlap	26	1	26	25	0.961538	0.961538	0.961538	0.925926	repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat/cope1.feat/cluster_mask_zstat3.nii.gz	2026-09-10T16:37:34.922903+00:00	3	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	b7b05f2e437e984faeaaf42a05c1c34f9fd23a984e2a1ae92567535bf9b38e92	b35a34af1b5a4cb538c6c0fb5b9125e916938fe1efc4401ce7a979a6f68681ae	260fd04d09eb12e69af430595e7bbeefecf9e8c4abb71508dbca582da7915be9	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat/cope1.feat/stats/smoothness	0.299403	56907	15.5834	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat/cope1.feat/cluster_zstat3_std.txt	7c9169d6007bdf1f5f706078118691251a131f86f7c2c1e2ee50805f694eae1c
dmn_age	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/dmn_p_in-out_y-o.nii.gz	2b09578d66e14e8c3c44ba0c7871a4987fb99150509e4b42b709e63de923896c	0	4	partial_cluster_overlap	26	1	29	24	0.923077	0.827586	0.872727	0.774194	repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat/cope1.feat/cluster_mask_zstat3.nii.gz	2026-09-10T16:43:39.671273+00:00	3	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	24ca411b641832b72490539ff79baff2e80d961103b94844f62180822ade1141	4e038a2844f7d5e0003355481a611d7a341728de3b7ebacfdb6d6244bd2b17be	53566418b2f7e99c0eac90d8e42567b75bb6f956fda6f377be35cf60bb345024	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat/cope1.feat/stats/smoothness	0.299801	56907	15.5628	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat/cope1.feat/cluster_zstat3_std.txt	42562cc7b47422338633da862e2b6f26911d198bfa1d759df2cd441ddf7bd3e9
dmn_age	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/dmn_p_in-out_y-o.nii.gz	2b09578d66e14e8c3c44ba0c7871a4987fb99150509e4b42b709e63de923896c	0	4	partial_cluster_overlap	26	4	76	19	0.730769	0.250000	0.372549	0.228916	repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat/cope1.feat/cluster_mask_zstat1.nii.gz	2026-09-10T16:37:34.391898+00:00	1	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	b7b05f2e437e984faeaaf42a05c1c34f9fd23a984e2a1ae92567535bf9b38e92	b35a34af1b5a4cb538c6c0fb5b9125e916938fe1efc4401ce7a979a6f68681ae	260fd04d09eb12e69af430595e7bbeefecf9e8c4abb71508dbca582da7915be9	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat/cope1.feat/stats/smoothness	0.299403	56907	15.5834	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat/cope1.feat/cluster_zstat1_std.txt	fe65b64526e86d243b4bc3f87596b558edf88c553ac57429b67167a9f38ebc5e
dmn_age	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/dmn_p_in-out_y-o.nii.gz	2b09578d66e14e8c3c44ba0c7871a4987fb99150509e4b42b709e63de923896c	0	4	partial_cluster_overlap	26	5	79	19	0.730769	0.240506	0.361905	0.220930	repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat/cope1.feat/cluster_mask_zstat1.nii.gz	2026-09-10T16:43:39.146268+00:00	1	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	24ca411b641832b72490539ff79baff2e80d961103b94844f62180822ade1141	4e038a2844f7d5e0003355481a611d7a341728de3b7ebacfdb6d6244bd2b17be	53566418b2f7e99c0eac90d8e42567b75bb6f956fda6f377be35cf60bb345024	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat/cope1.feat/stats/smoothness	0.299801	56907	15.5628	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat/cope1.feat/cluster_zstat1_std.txt	33394f74b653403294efaac8ac11b71af7aea59b8c26207e161f8ff2182fa774
ecn_sensitivity	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/ecn_p_in-out_o-y_sens-logit.nii.gz	cb454d0eb557f1468d9461a71fabfea59031266e2dceb9817a97e1104919dcd2	0	1	partial_cluster_overlap	23	1	22	21	0.913043	0.954545	0.933333	0.875000	repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/ecn-sensitivity_image-only.gfeat/cope1.feat/cluster_mask_zstat1.nii.gz	2026-09-10T16:39:37.372033+00:00	1	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/ecn-sensitivity_image-only.gfeat	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/ecn-sensitivity_image-only.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-ecn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	47c216dd7e57105bb73b133d94aa3ab3fdbb594c3300cc25ce9e526de2dd2dcd	a91c6f46c9f421d0ef352a6030dd6c19d3b58f78c6119a61ae1ef6ed26c610bc	b2910298424e81a48dc5cdc892ebcfcacb6e0af8be9a6afc788111a9421ac3ea	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/ecn-sensitivity_image-only.gfeat/cope1.feat/stats/smoothness	0.333779	56907	13.9578	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/ecn-sensitivity_image-only.gfeat/cope1.feat/cluster_zstat1_std.txt	05f7eef5a3b01a70fb2344e510feac6909f087d752cf9608173269a0ce1d240d
activation	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/act_p_in-out_o-y_norm-logit.nii.gz	a0ceaf947d1be84604bcbe6043b747fb8a0ba8a94e3796aaed051dfb46007706	0	4	partial_cluster_overlap	161	2	169	151	0.937888	0.893491	0.915152	0.843575	repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat/cope1.feat/cluster_mask_zstat1.nii.gz	2026-09-10T16:47:28.796394+00:00	1	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	d2c5bf59b73561727ad96e16486c0eb122802c62d3e6dbe083d6815028430297	0ca4e94048ae5f38d3124363bc7d51d8208fe5b8522b0f8ea87a80b16af5bfca	f18dc158e96eb8f20c11bbf47622eef9a960070c3d8118fe9f37101248030843	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat/cope1.feat/stats/smoothness	0.206732	56907	22.5355	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat/cope1.feat/cluster_zstat1_std.txt	f77a2a251fbf606c928baa992f1175c6e71f6bf18aeda9918d7d09adc6747c43
activation	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/act_p_in-out_o-y_norm-logit.nii.gz	a0ceaf947d1be84604bcbe6043b747fb8a0ba8a94e3796aaed051dfb46007706	0	4	partial_cluster_overlap	161	2	86	81	0.503106	0.941860	0.655870	0.487952	repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat/cope1.feat/cluster_mask_zstat1.nii.gz	2026-09-10T16:41:53.396290+00:00	1	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	bf01122eda7724f40af908c26378b31de39c51eb54d4cbae0e92fe09eee8e0cc	145350c56578bff2d7543dbb90645f5a61846796d54a20904aaa8bc93d45c6fe	ddb3294d73b2e4c1c0eb6228891700f26f5ef647c90065cb4128f87510a3f8d4	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat/cope1.feat/stats/smoothness	0.205544	56907	22.6657	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat/cope1.feat/cluster_zstat1_std.txt	e91f324d64df465ec3df50a87f548619d6371b5121d1f6f591a52e1d55173b35
activation	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/act_p_in-out_o-y_norm-logit.nii.gz	a0ceaf947d1be84604bcbe6043b747fb8a0ba8a94e3796aaed051dfb46007706	0	4	partial_cluster_overlap	161	2	38	34	0.211180	0.894737	0.341709	0.206061	repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat/cope1.feat/cluster_mask_zstat6.nii.gz	2026-09-10T16:41:54.727302+00:00	6	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	bf01122eda7724f40af908c26378b31de39c51eb54d4cbae0e92fe09eee8e0cc	145350c56578bff2d7543dbb90645f5a61846796d54a20904aaa8bc93d45c6fe	ddb3294d73b2e4c1c0eb6228891700f26f5ef647c90065cb4128f87510a3f8d4	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat/cope1.feat/stats/smoothness	0.205544	56907	22.6657	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat/cope1.feat/cluster_zstat6_std.txt	b5e8eda333238282c990338845c1eb20ed3d45c50c3bb832ea592dde7d09800d
activation	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/act_p_in-out_o-y_norm-logit.nii.gz	a0ceaf947d1be84604bcbe6043b747fb8a0ba8a94e3796aaed051dfb46007706	0	4	partial_cluster_overlap	161	1	39	34	0.211180	0.871795	0.340000	0.204819	repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat/cope1.feat/cluster_mask_zstat6.nii.gz	2026-09-10T16:47:30.109406+00:00	6	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	d2c5bf59b73561727ad96e16486c0eb122802c62d3e6dbe083d6815028430297	0ca4e94048ae5f38d3124363bc7d51d8208fe5b8522b0f8ea87a80b16af5bfca	f18dc158e96eb8f20c11bbf47622eef9a960070c3d8118fe9f37101248030843	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat/cope1.feat/stats/smoothness	0.206732	56907	22.5355	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat/cope1.feat/cluster_zstat6_std.txt	096860cd92366987bec650bbcae495e74f0607f179debecc0817ba3a1f18d1f3
