search_root	gfeat_path	relative_gfeat_path	modified_utc	npts	multiple	mixed_yn	robust_yn	z_thresh	prob_thresh	thresh	poststats_yn	input_count	unique_participants	sub144_input_indices	sub144_input_paths	source_copes	cope_level_outputs	cluster_masks	smoothness_files	design_fsf_sha256	design_mat_sha256	design_con_sha256	design_grp_sha256
repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_image-only.gfeat	activation-norm_image-only.gfeat	2026-09-10T16:39:48.001131+00:00	47	47	1	0	3.1	0.05	3	0	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	1	8	1	bf01122eda7724f40af908c26378b31de39c51eb54d4cbae0e92fe09eee8e0cc	145350c56578bff2d7543dbb90645f5a61846796d54a20904aaa8bc93d45c6fe	ddb3294d73b2e4c1c0eb6228891700f26f5ef647c90065cb4128f87510a3f8d4	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/activation-norm_reported-covariates-corrected.gfeat	activation-norm_reported-covariates-corrected.gfeat	2026-09-10T16:45:38.552373+00:00	47	47	1	0	3.1	0.05	3	0	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	1	8	1	d2c5bf59b73561727ad96e16486c0eb122802c62d3e6dbe083d6815028430297	0ca4e94048ae5f38d3124363bc7d51d8208fe5b8522b0f8ea87a80b16af5bfca	f18dc158e96eb8f20c11bbf47622eef9a960070c3d8118fe9f37101248030843	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_image-only.gfeat	dmn-age_image-only.gfeat	2026-09-10T16:35:52.564960+00:00	47	47	1	0	3.1	0.05	3	0	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	1	4	1	b7b05f2e437e984faeaaf42a05c1c34f9fd23a984e2a1ae92567535bf9b38e92	b35a34af1b5a4cb538c6c0fb5b9125e916938fe1efc4401ce7a979a6f68681ae	260fd04d09eb12e69af430595e7bbeefecf9e8c4abb71508dbca582da7915be9	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/dmn-age_reported-covariates-corrected.gfeat	dmn-age_reported-covariates-corrected.gfeat	2026-09-10T16:42:04.169390+00:00	47	47	1	0	3.1	0.05	3	0	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	1	4	1	24ca411b641832b72490539ff79baff2e80d961103b94844f62180822ade1141	4e038a2844f7d5e0003355481a611d7a341728de3b7ebacfdb6d6244bd2b17be	53566418b2f7e99c0eac90d8e42567b75bb6f956fda6f377be35cf60bb345024	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/ecn-sensitivity_image-only.gfeat	ecn-sensitivity_image-only.gfeat	2026-09-10T16:37:41.501964+00:00	47	47	1	0	3.1	0.05	3	0	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-ecn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	1	8	1	47c216dd7e57105bb73b133d94aa3ab3fdbb594c3300cc25ce9e526de2dd2dcd	a91c6f46c9f421d0ef352a6030dd6c19d3b58f78c6119a61ae1ef6ed26c610bc	b2910298424e81a48dc5cdc892ebcfcacb6e0af8be9a6afc788111a9421ac3ea	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
repaired	/ZPOOL/data/scratch/srndna-ultimatum-l3-repair-v2/outputs/ecn-sensitivity_reported-covariates-corrected.gfeat	ecn-sensitivity_reported-covariates-corrected.gfeat	2026-09-10T16:43:46.171333+00:00	47	47	1	0	3.1	0.05	3	0	47	47	35	/ZPOOL/data/scratch/srndna-ultimatum-sub144-repair-v2/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-ecn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	1	8	1	832e41d3dab5d5c2334c72e0f6c59ad7c21304b33cc28f806bfac026554ca5bd	db35e3cce6a54a4e6e0769521fab780ae3eba0d7d8b034a22710d5634ad60b1f	3f5ecfca902fc6f4cdac538b468897367f90e655140efca3106660d0dc36cea7	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf
