stage	subject	model	run	model_policy	expected_copes	expected_zstats	source_fsf_sha256	rendered_fsf_sha256	complete
l1	sub-104	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		a5e699229c07fa9e49819960788d6c6657cbc345810afd94e03b77744f5b5e20	459552e34b4cffef57f4db9e51355e9666fe1d48a72e7ad72cecc9d3f1acf3a3	1
l1	sub-104	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		2563b12b72fd77c37115f6d265d7fd25dc9be94a592332314cee3a2bf7814e45	9974ab4871648173c3c396abd25adb485015f0810c8168e9872fa78f6b48f707	1
l2	sub-104	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		b0fe54f6f6212f7b1707a9f0e0df127151057fb32b30f753ff42ecd67cdb394c	372bb7722b6154312dc21002b7aeaecd8e66bc52ffa0095884057a5b1b3f5a4d	1
l1	sub-105	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		f3fd665a036f4c89287dd7a84c8512d6a32be5aef5a52848861577bc9938b54f	4b48f982fdf66a896bcad70c96fe1dbba2aa85fc1774255f3ad7023138daec9d	1
l1	sub-105	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		0d1b20b6d50675932bf3d255536978349752e9b0701b16a0dc04ca581dca5951	e86da5878755147544ef432c542413a276127d8b9a2649fd9a9d1dbcef9a8c0c	1
l2	sub-105	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		19f8dc995064fc4a9a288133a92e56178bd273b043fea36b7dcb652f3cdc93b2	836412a66c8b40a6ec39a51ae540c525139f2d9a69bfb8e085cc929e2d0a018c	1
l1	sub-106	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		6a2456c49701960266fa7240d7654816310c9e9bf377e61a57e14c65e6c5e3eb	3ccdaa16f8e97a488b653b33eb58e9a1741a33a7ad3f6343edb1942c9d630f47	1
l1	sub-106	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		1cc18b35bf095e86ed06c0cf56efc44a70a2127a8523b9aecd8d1f5c117c63cb	02c8bb08964811a869257f70854d0145939c772bb1c5e152c8d84b020594ceb9	1
l2	sub-106	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		ccd63359b6be07d0f5c8c2d80822af3db88b12ae42e1d4ee25a24f9adf4172ca	6fcd6bc46c0652481058a8a5229972115941ef5a1675bfd1a1355990b9d5ba2a	1
l1	sub-107	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		0ee798dfd6d2cf96c153f6c652b4ec62821a68a52998e10987a932c32409fbf3	cb76dd9acef34bf1adad2cad12c9e098066d5ae6e2677f4c42c31dc29a179f87	1
l1	sub-107	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=70	11		6ef102810af3ffefb743f4d97f9b286735c71315e46f1cf4f1064e03e920c70c	ab4f31bff534855a24488614fe92dcb1da19bdca7931adc7d7784299a52ffa67	1
l2	sub-107	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		e1d4a6f636b0a8c9ac3ddd4e66855c4c7c4e48df493f2efb6eeb5971d264949e	13ce5c830615b843123df8df3b69109561fe289cadfe93fd5394c429b9f7df53	1
