stage	subject	model	run	model_policy	expected_copes	expected_zstats	source_fsf_sha256	rendered_fsf_sha256	complete
l1	sub-108	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		3147ab77250ecbcf74a1de191e8f9d9a568444f480bd75d339ebdc0036634d64	89d699c06962c239dcb08e7504d94b4e5722d7c87bb501afe4468d408dba9890	1
l1	sub-108	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		65dce6d3af93d207199d0789fa02fb8da6b3c647b4ca2c3b657e19609eb189b7	bfab5c8ebb4ff75d0675292484484ee490b5ef36980402c0a8cc96816d7935c3	1
l2	sub-108	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		5adda060043068c9bf4cbb7bfe2653e4c76a8b4420cd8fffc2c79e9237ca5757	9701b9abf67f5af7329430f741560acee310b4602885415a00b7da8e20e2045c	1
l1	sub-109	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=64	11		192125e1d839d3be92aa505665cc9d0ba1ab6911a47ab3e64a222848fb1e97a3	688bcbdbfa1b34820486fcfaa50857b35b0568b76687734161db8d71da452348	1
l1	sub-109	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=62	11		5516056cf6c233ab69b155a4c2cafda2640c27f4a65487fc4d6977c350763131	d5047845c6696db9db1bd7fbe4bdafc307add892b28f8eca9ca6f6d33f2885cd	1
l2	sub-109	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		149fdb93229491b54aa428da0bf5eec1bf6338115100e28059c476b71c777380	b5bc1a85c8bf7f2ed1a809193c93fb87d0b69fb392b77c6b9f6b953ff366afc6	1
l1	sub-110	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		c65396efcd1fbb73360e58fca55aeffebd1da350b82c93d065646f1d3f79f97b	b723d08dbce821294edd4468affb19ebaaf4ab391605e95f7ff124958d4350e3	1
l1	sub-110	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		d2ff532fcbdb82cb74d3bf108ee139e2f839bbded6e26f36c8143149f63a637a	bce94e5ffec3e0de000cf9ce0571ae1af5d066e0dcbe923c6ad23828c7aaf6f3	1
l2	sub-110	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		3787518e9e1a2e81db2c1677fb7c3254254816e1f1d756b9c31a98618594630c	7ce90779fb4c51e522a28175bbff41af5c9af87784255068174835e501da03c7	1
l1	sub-111	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		90bee590c4416eaeac9db34afe6ff222d0a72bd6d69cad6a2858a6d502cd0d47	aef4718e383162262a4bac9694511fa9204282f8ad481c769e63a86595530fb4	1
l1	sub-111	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		609eb15cc6d95fee354a9f1182e4cd73302a722e175484a4e8e7d11b04cc0168	a41cdc0d8822e07b2102b65d2eac586f26b68b2850f10d94d0eedcb90d6a84ee	1
l2	sub-111	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		dba184b3d2e51fef2ac4f19fe34715ff547100855291428ee592c983e878d5f1	6c3193c6bd4b7b5aeda77573955bbb33b6f921003975d85e90e2d6345e69a2ce	1
l1	sub-112	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		b638146eee4515b6596b40fbc5ce16467cb44351215718260c4c2bb8ad26641e	21974a4b10f8ee2035271c39ddd9fc9be25986a9a36b2b46d81146ebae600663	1
l1	sub-112	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		93ea35f9819dbae85f4b4971fcd30c36a9ebb6b19145b55b89f1d9fb0206429e	fcc309ebceb5140bcc0882cfe83737790762739be7605230432e7aba96dfdebb	1
l2	sub-112	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		322ba057dc866ccf08076bbf97091221532a3ad7d6b0d57d97b47360ed384af5	2ef077ae4eb62653713c9cc3e22dfe436c72c117d841a3c68044eae41edbdb43	1
l1	sub-113	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		3200a63bf9a3df3fec136862972c11a08756162575b01a77d7dc5e0aeea9eb63	a2b272c7d029def0f79377ab78f088573f4f44be2502d9479dc826b585a38565	1
l1	sub-113	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		74ed4604a30e3b8a8eec2a76ba11886db7d78fd72df54156d51444bf35fe72f6	5e755d376073b3936f00537c10dc0c1771d9e324bc4c8aa1604c8898bf12212b	1
l2	sub-113	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		64e194d6ca5fd26b474ad16b3d20abcf351746fedbdc246c8a3ec293930c1a04	74517c231aaf0cc63ca6382b0e6645b15c3c77a536dba2c435ca21b96000a410	1
l1	sub-115	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		2669cb233b02a03b6ee9b1eba995fffa330709406a1b6c4182a9f2237e3de886	bf339d3c45f244b27e1b107e0f2ba0a4a459554b046be1b31e6c5a79d39eba50	1
l1	sub-115	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=70	11		5157f34a14ad616d06101671114aa06db7dd50422189e2039bd2bba59f3aba30	e533ce2d3d380e0d393851cd008b2ad3b66a10f4f8b46cd6ea01a5dee18f10d6	1
l2	sub-115	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		34401493c468a66cd71945f8590ff88d0f56d29d8c78d4d2767657e32aab2d0c	5cbeebce9266adf627cc527b251c14d3576b2b4216ba34d971aef5bf37c737ab	1
l1	sub-116	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		213a13c433d8ab2a0aa2386674bd2848c7e38b3ceed904b4a7174ab6a021062b	0af2824ba1f7bd82cfe9773a613a04c83e1efc7d454515498a2cb26ae70fb5a7	1
l1	sub-116	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		f4ee481b963f52b21550b21032a82539e02f639c322b1c6e58f066c0665211a8	379166eb04851c9a97f69b5c017ad6763951c777f0f3430aaa1df6613065cb74	1
l2	sub-116	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		8560d4e1ac68978d01ffce0a609565010d3d0c44dc521bcb38febbd26d7e8a71	eabe7cef6abd14bb22f06b109f24b34b2e7fbbdc953336b76d0c69e9ba9b774f	1
l1	sub-117	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		115bb3d0a722282baf8fd947d9b6463c75e1da6cb1cef322085c064bb14e88fd	217908b4088b06e80fa09775ec4e16c9bfd6814eb91717f9e780d6b5fdfc788e	1
l1	sub-117	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		506c7563b3c1da999433c1d6f3aef26624b1e53bb013de35d6c07de5cb5a5aa7	90a6a2169342179fe6032119f99a05014809a1fc9ffc4947ee5a010e3c5aec84	1
l2	sub-117	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		b393a1c7ad7d33854a5c2357a5d029f2f4b10a9fc121708f990082f3095e8f66	546e92562b77e8537d5a3b73aed7a9ce503156094632a492e94700442a0e6e76	1
l1	sub-118	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		225ea6b56aaa9303721f130b6d6a6cf4cbb49d9d8da14963cdae8d2d7e718455	0a29c48941b2c37c1dd2d2dd620390732f210dcc4a9b175889e9e9c45a8c8541	1
l1	sub-118	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		ab9247233ebe8d7013d739d3e121d054b1db87c99377a1d3f56c920354f1d31d	4939fe507c9375d0f89a9874a02c4b2e1047c34140acbb1dd70b789dccc76bd6	1
l2	sub-118	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		a2086190339c203ba8887cbe854f80f0be668b9c3ced2e9b7282c4eef30285cd	806eec084add30de5e20bbdcf0e55722e0276191d0a24bbcbd9e575d246e2e06	1
l1	sub-121	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		766c742eac42d00bea94f527538016abfae1255e41710796528ecff3d1e24c35	a0bf38eeba64d2cfce0eed62474e3245c9ea3d1265d8dd62af5a2fa0c4ecb275	1
l1	sub-121	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		89f66c9c089f403edabb642db1aa8c4d679e037fd00d881ba893a2494696aa2f	96f991531be34eb06bfee823fdc0114b0d991ea8931f1f06dc37051e378b8fbd	1
l2	sub-121	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		2935865a2dd75680f0a57db6c33ad88ceceb15b61c2d22858142509c04467c4f	f9b5dd68d1c0a48ea256643849df4d520c55c23e011edc0ac16e1d717ce721db	1
l1	sub-122	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		406f10565569ff0b1af0342759aa1148b72a7d50d78e32d4e9375d0b830c5914	f15b190e0575b9d018ab1c9b33bf6699b23b76442e078bca9d1e6a5b3898192f	1
l1	sub-122	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		ac8436fca25540a4eee5152da35892ae2d3b0c0d7cb5ee837c19aac57e616b08	d4f0b3aa8b870da6869e1364ea04d21ab295dbd1a062a4e2ba0e2f50a45282a2	1
l2	sub-122	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		4e2d7b6b4475dafd421b794622815b28aa8f5ef2ef1473a031d955dab5dac9f1	254e5c2d50d37a5b00e52a7ed88f314723389516d6bf62f2df75d3cc5305b5c7	1
l1	sub-124	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		25cb30d101ec9b457f0b006cf881472a4e2504784a8ec95090d29b27b844deab	cf360c7f055ffbddd861a91508085db6247406b9a4acc880ab5e3d647e520155	1
l1	sub-124	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		2d3dc168880753128df4a822299db9f5ec904bea41e9e3ae9b23e91a2d6fe2f8	b7358905589fc0526179a03063519f4a00ec91d15e4f60ccc1048d01e87c3fc6	1
l2	sub-124	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		73590aa269e425354d821208095eacc0fce4b22a013a1b6b18a2603ebbe5f18b	e9c937877340ed0ed12c96761411c521ac30ed8bc51ddd6d44b7c6d335eec4f9	1
l1	sub-125	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=70	11		68f6774e0051ab1269e9c1bc52fe18bc1bfa3c076db2f5b697f8db450acbfcba	d22c212809c76e029c5b589931baaad2a327c9ffa1a984374075230a32ab832d	1
l1	sub-125	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		09261255f63fa19bb2ad0e7c4122c83844f8233dbac689f57c66439c7208a9ce	f54bfb980fd3531d777a15a7806c9563bd1df39a2db9c570a9f7743e3761a15d	1
l2	sub-125	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		e82c963b8ebcc924c75113b26d716a1fccdc337f9641ba2e79d61337c5e9c247	37c0fae240a20ec809b88cf1c5cde9f833a3e233382fcc60caa2afc4f1a80ee6	1
l1	sub-126	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		b50472c02971fb645135fbb6a73df22b681768783e60d781896cb0fff68812ba	b312b635c514c690b600f132ad02c953ae25b7d8400a35e1bd2df4b92f1171c3	1
l1	sub-126	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		b8816687df3d53f78a56cab5c4c2255b63718d045368f8754dca061642ad7c19	208d8303016fe7b31d786478b84f296bfcd660defa37b490d0f3068caddccd29	1
l2	sub-126	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		4d0bc08a95399895b410f0ed1ac71e46cb375de339788623e9dd1dd02e182dc3	5522dfe5625aa494dabbe355d5c4c72ff62a2b81595a2a76caa2aabe729a2bb0	1
l1	sub-127	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		fbc650633d8f4124704a052ce4f7ebee5e6dcdcfdba2774f2f1980ba7bbd91ad	36d4e68ad67a1a210d253865ef17ca068eb3e15d7b6dc5844210ba0d3f51679b	1
l1	sub-127	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		fed6756d4b4f7cc261f8b48430e1a7d14876605064a990ed72a72c2e5ebdb579	7f4c077f1939f67d112f647ce3d9992a9f03442657b4a515f26fc543d00c0d15	1
l2	sub-127	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		982556cc9f5ca718bd57832239d179dbfd953f444f76e852d3fc82084e548ca3	7835315050f3fc6a480e1aba7cd48f2952efffc12125ce794a86f5cbfc14d199	1
l1	sub-128	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		7702747bce4b16a2173a8f13b3af54fcadbcf8728d2942888af06300cb314aff	b5cef70e59bd473dd86f3d8bda142fa05298d9dadae90a335ab636057f1259e8	1
l1	sub-128	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		a9d2b52a54ceabcdeaa8f260c02d13df81e82a66669a308abde4e409ab8c06d3	ea2f962a586636eed146b057282a8f6dd6af04b9ce41b607ba4538c82c10c101	1
l2	sub-128	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		a06653396095420f6194384b3b78beba2112fe10647c10a38ebd61eb7d7ac050	3e8526d7c7999b6f50cb6e8964e4ed2d0453e4c5d35d2e766230056f7209a17b	1
l1	sub-129	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		b6f85d70e7350c5a849e133ca93093a6c5c601ce84f08dec1c27f6ef15614c17	34bff132f52a7a56a75426ccfd2c973f23e34582aa4068c56cd4c01e56f8a1ab	1
l1	sub-129	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		42b2b9d3bafc2e301474fb0dd830fa9d1c7f710db6eb3f8ea4ad44de7b395257	9b0d19a4bfbc4468a874e9f65e12b1acdde5fe78f914240241564cd5a2981bae	1
l2	sub-129	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		5b1787e6ebe90f6b453a783cc2d26fdc67d99326019e12754227c816d4b32015	4eca47e987dce48899ddc9d2c1180c3c42f09c1a63148b00882b9ccce6da0fc8	1
l1	sub-130	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		fb4fbb70e3a36a0bf32f00f9d75c9ff77a7a7fe676f4209666e0ee6b2b8c90c0	571a29eb9dc50e0cce140ac39e4be16558b8cd6320fe4c980691244f9ed55cb5	1
l1	sub-130	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		4cda70ec0f80e3c89dc3289b9c35d7aeb36b4d6ca32bfe5db1a3a0217b803bcd	d5b486af011aefa8145981ecbe41eaf7ae55c0883411eb48d279fd9eb7125ad6	1
l2	sub-130	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		a4476b7173ddf233beaa239f85e8a558d53e93d5d7396c5061483e16c9dd72bf	4147d6f1c0645d61137b5a76a1afc8b16d87d6205d9e272527a25586c5cbf8b2	1
l1	sub-132	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		839ce805682616e22675bdf1f7edaf09a8c92a6b1cd7f76a0642f6d96dbdb3a7	8d7e0102c5edadf92a989ab90169b90bf35fa3fd31af29b988eec6246da47321	1
l1	sub-132	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		a54cfd0637c7fe4983e72d865ee1fc8fdf68bcb5814af7c397a4577a7911d01c	ad5ebb37a73535a9a093dbd8fe8d1b102b96bb418b201f7ae77c6bf1ae3410ff	1
l2	sub-132	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		6fb922bebe33040660d6178429011ac503d34f18947291f9d59bf5dca1eaf40d	a5c6ef30878897097fed0b97b54a1a82c48a147e60fafb1a8bdfe4a16b0b5bba	1
l1	sub-133	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=70	11		749b83d2ca8f5917172916d37372aa586f25eeabdd2b4b2ce370aa57f9a10acb	1b6d7ff20520693376c1793316d3e677ce819b32b60caefb026f22eb1cc8ee6b	1
l1	sub-133	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		2ce7cb013628e5bcdebd6be7cd41c3638b1fc087161de779f69c0a88b6b521f5	cadef656491eede8daea600653766a8aac9ec534d51b3c55df89441a96902038	1
l2	sub-133	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		e50e2519907d8787b68ab39dc0d8f27d099578aa773e8995b62953bb6875d0f8	edb4a606f070fb9c80a200ce7b2e851a803b0b022e0e426524c0e94d31e1d752	1
l1	sub-134	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=69	11		de43bfe7720387049e376000c8fe59d1e0f7c8a946a7b9818a20d438f793b941	93e0c74516054aaf32dcf1147b518deba0b43efbec4396e340890936522f285e	1
l1	sub-134	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=66	11		24b48aeddf74da5868016417158d56bff0b876f83166d81225e88b9f2ebbc60e	8cb10a70da4ae2ee2c5e26cedced51ff7712a1884079442a5338416b400d3717	1
l2	sub-134	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		637117bd67c1d196cbffec0e265009c7e046f84ceeee62d9c60cb7017c2ea785	161e6554d092c23b130043a09941e7934f48fa59320e0488d5b377848e6a0544	1
l1	sub-135	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=64	11		17949934ee076ccad3ee139dea6d2210bc10faf81d18fe1512e113948d051b6b	b89b010938582d224833130bf41937fabb36c1cb0dc9d1bc366751ae3d3fa2e9	1
l1	sub-135	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=68	11		5729238ba53b68eaaae42a27b3af685cf92a76565b083b9e791f2871b0128439	398934d0b02f84ebb593eef091caaff4ff74ddb8db1dc36d581ca5ea6dd146a2	1
l2	sub-135	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		32f40d89ed2968ebd193ea9c337dcb90a04b8316115ea1a33a19f27af62b767b	3e2205ddd6cec121109be18bd6e166c5ee57e5ed00520303af6e43131f7333f3	1
l1	sub-136	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		31baa3da755e5839b7dbddc98b3883acdaaed709645624f3498f635628a49632	319738525a611e5c4d77a943d521cc5e64e5b92f01bdc056143f313779f7c338	1
l1	sub-136	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=72	11		5a2835895ebab8aabf2ff7861c15fe943a3967743b1bf36d78e8e7ea191ddb2e	21cc4bccdbf2382fecd553e2e3011ae3185d90807893776047a64b319d7a4ba9	1
l2	sub-136	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		8640b2427b9aa27674aee4c339a3542bf31dbbb5973387adde706f0ec771ed79	a29a462f90af76190e85f6a74fb916986752b4afb541adfb88806675aa8e6f9e	1
l1	sub-137	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		c109455480993990798f03f1cffbcc696b4bdebea9e4c075bad69839c50525c0	0f628da5ad9520717f5de71b187837522389c01734bb3d6bae695c4e06151710	1
l1	sub-137	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		f0e591c4f0c7410349eeb5bb0301aa6b390dc2a9b083e2532d033709c8032317	bfa88c76201154f475928f842a507eb1345c131cb26bbe4a485b8aba6bd4ae12	1
l2	sub-137	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		554bd216f1739de2a0d3637aaaff7ac29d9aac47a8d6996b54292606898e0333	dc5acab4026705c5675f61e3183bcf5d8d654a6fef5fc275a3d8bd254f5d32a7	1
l1	sub-138	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=68	11		c1df1c28454afe3a197002dfca06cef9b1ebd76b0ba2830308d08080fb65d0c3	38cd6bb573c4e67be3a4040fd6c3250db187ee8c11ba17f4ac7755565d968378	1
l1	sub-138	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=66	11		72f029784e792272d5ba80c07eeccb9237bb0f5e7443a4cb52176812e95ef0f4	7eee3ce59f41f252c79dd92933e57a547c929d9d2bf2cadb0b02b2aaeb55fecb	1
l2	sub-138	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		9af4afeb387a75c0978818d49d777f1be1aaac7cbc092bd1d184a2d7d1a19b82	1bab9fdd2c572079d0ba76ebd8d163607535d854b49a0b6d7e10593c5e0300e4	1
l1	sub-140	act-fairness-main	01	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		586ffe0ba4b033261332597dae6f5d5308c4ec93fe1efae8357fd95539d18f44	7b29faab92e293d2ff5591bed16cdfce96cacad18c909cef105d193f0365729d	1
l1	sub-140	act-fairness-main	02	historical_9ev_glm;substantive_decision_rows_for_rt;equal_weighted_offer_pmod_contrast11;task_trials=71	11		bcd6ecde456d93012349c918e507514fd991b628ae2083231810fa07944301ae	2599ac9fece4b6202a3b6adf08e80311f7fa20d362929102367b2516263f3ea4	1
l2	sub-140	act-fairness-main	combined	fixed_effects_across_runs_carrying_all_11_copes	11		8695a69277cc01abc3d0f2e921e3d83f418f0e7510693b26a4c8d3a492f78641	fa2309c0c3d36756469ae82b6821f8b9f05ac5f3f5dddde98e7d221148acfabc	1
