kind	source	destination	source_exists	status	bytes	sha256
shared	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/mask.nii.gz	poststats/mask.nii.gz	1	copied	6532	12777cdd6c1a4a34e1c86b5f0e1f0664601b2b735b7578826db61d77084d71e6
shared	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/smoothness	poststats/smoothness	1	copied	106	d05c11380fee72bf44aa7d80f313636bad03e8808c3690a43c4f4ecb94ef682b
contrast1	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/cope1.nii.gz	focal_contrast1/cope1.nii.gz	1	identical	229263	0f0dd2f5e129bd9dac59c6648c13495537b558969f19acfb4afd4d74f0ed4c92
contrast1	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/varcope1.nii.gz	focal_contrast1/varcope1.nii.gz	1	identical	221786	f43f7e6cd821d465d70482ed3645d443f7a1d02ea8662a9acb8e97fe31fbe967
contrast1	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/zstat1.nii.gz	focal_contrast1/zstat1.nii.gz	1	identical	228481	45f76ef79e5e8e580aec38665e69cbe637e2f79beb35196cf979fe0451ef130a
contrast1	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/thresh_zstat1.nii.gz	focal_contrast1/thresh_zstat1.nii.gz	1	identical	17878	da17fb63a9486bbc5b26a66fb18ca6ba8b6e4076eae42ae83fa249c498eac490
contrast1	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_mask_zstat1.nii.gz	focal_contrast1/cluster_mask_zstat1.nii.gz	1	identical	1807	d8f7230778553232a69ce7c1e9122e30f96963d54cfba9c2fc078e5977e93617
contrast1	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_zstat1.txt	focal_contrast1/cluster_zstat1.txt	0	missing		
contrast1	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_zstat1_std.txt	focal_contrast1/cluster_zstat1_std.txt	1	copied	592	d28cc3b097d86df8f64a0cac17b5efce05912a75edfb2c2a31240b031867782e
contrast1	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/lmax_zstat1.txt	focal_contrast1/lmax_zstat1.txt	0	missing		
contrast2	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/cope2.nii.gz	contrast2_adjusted-mean-negative/cope2.nii.gz	1	copied	229239	883743943e8256580be8edb21f3549a0454af897dc65ce639628edcf75c2469d
contrast2	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/varcope2.nii.gz	contrast2_adjusted-mean-negative/varcope2.nii.gz	1	copied	221786	f43f7e6cd821d465d70482ed3645d443f7a1d02ea8662a9acb8e97fe31fbe967
