kind	source	destination	source_exists	status	bytes	sha256
contrast2	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/zstat2.nii.gz	contrast2_adjusted-mean-negative/zstat2.nii.gz	1	copied	228434	964609c0c8e405569496060e7099a1e7c454a83ba59669d52934421b2743a61d
contrast2	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/thresh_zstat2.nii.gz	contrast2_adjusted-mean-negative/thresh_zstat2.nii.gz	1	copied	15991	9ba03b5bd31ab3bea8babc98475d39b49094f65124d7e0374cd6efda4fe24a78
contrast2	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_mask_zstat2.nii.gz	contrast2_adjusted-mean-negative/cluster_mask_zstat2.nii.gz	1	copied	1411	b62982592002fd4c4a46ccf161ac8f5674159fefacf2c168bc84ac916b09092a
contrast2	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_zstat2.txt	contrast2_adjusted-mean-negative/cluster_zstat2.txt	0	missing		
contrast2	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_zstat2_std.txt	contrast2_adjusted-mean-negative/cluster_zstat2_std.txt	1	copied	184	de4e9efaa1c9e8fb2f6900fb2b135f48c44af33be750393b1b6bfae3ff2c512b
contrast2	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/lmax_zstat2.txt	contrast2_adjusted-mean-negative/lmax_zstat2.txt	0	missing		
contrast3	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/cope3.nii.gz	contrast3_older-younger/cope3.nii.gz	1	copied	229961	6739df0f4de12dbb599a9c289e8be5a9d2312ef3b0445e207ac702104cf287b1
contrast3	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/varcope3.nii.gz	contrast3_older-younger/varcope3.nii.gz	1	copied	221509	13330d2e8cafc90f9af3544a25eafc8f0361353bdf861f9d7910ec34ac57fbfd
contrast3	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/zstat3.nii.gz	contrast3_older-younger/zstat3.nii.gz	1	copied	229069	ad578f7863d639baa83b1ff8cbacfd48e7e760ba93268c211098a7341615ed73
contrast3	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/thresh_zstat3.nii.gz	contrast3_older-younger/thresh_zstat3.nii.gz	1	copied	16406	1bf2d8e224ec072b156e0e2533f4b6e03b46837dec10a19d0d95e4f7c301fb1d
contrast3	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_mask_zstat3.nii.gz	contrast3_older-younger/cluster_mask_zstat3.nii.gz	1	copied	1411	b62982592002fd4c4a46ccf161ac8f5674159fefacf2c168bc84ac916b09092a
contrast3	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_zstat3.txt	contrast3_older-younger/cluster_zstat3.txt	0	missing		
contrast3	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_zstat3_std.txt	contrast3_older-younger/cluster_zstat3_std.txt	1	copied	184	de4e9efaa1c9e8fb2f6900fb2b135f48c44af33be750393b1b6bfae3ff2c512b
contrast3	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/lmax_zstat3.txt	contrast3_older-younger/lmax_zstat3.txt	0	missing		
contrast4	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/cope4.nii.gz	contrast4_younger-older/cope4.nii.gz	1	copied	229950	854439e86f7faa7ca296f0068514ad1e15a5a7d0c16f31ebb2990019d1dd78d4
contrast4	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/varcope4.nii.gz	contrast4_younger-older/varcope4.nii.gz	1	copied	221509	13330d2e8cafc90f9af3544a25eafc8f0361353bdf861f9d7910ec34ac57fbfd
contrast4	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/stats/zstat4.nii.gz	contrast4_younger-older/zstat4.nii.gz	1	copied	229077	9012818ec4d1e9a6aa944852638ecf9f09a25b22ab5a430e257bcc5e952b4138
contrast4	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/thresh_zstat4.nii.gz	contrast4_younger-older/thresh_zstat4.nii.gz	1	copied	18075	5c9c2b155804223ecb141bb649aecbcf225bff213d44e14431288a9eb23f123f
contrast4	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_mask_zstat4.nii.gz	contrast4_younger-older/cluster_mask_zstat4.nii.gz	1	copied	1569	dd5a65967edcee3ddd8d5d22a453a371a143407477da58b753bbdb23a4fcb0e2
contrast4	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_zstat4.txt	contrast4_younger-older/cluster_zstat4.txt	0	missing		
contrast4	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/cluster_zstat4_std.txt	contrast4_younger-older/cluster_zstat4_std.txt	1	copied	424	64563866bc063589a203b599965f81128077ea1907939b793bb37f4df440d5e1
contrast4	/ZPOOL/data/scratch/srndna-ultimatum-activation-fairness-main-v1/outputs/activation-fairness-main_all-participants.gfeat/cope1.feat/lmax_zstat4.txt	contrast4_younger-older/lmax_zstat4.txt	0	missing		
