subjID,ingroup_fixed_rand,outgroup_fixed_rand,in_out_indiv_logit,younger,older,ismale,tsnr,fd_mean,RT,in_out_demean,in_out_young,in_out_old,ones,y_ingroup_fixed_rand,o_ingroup_fixed_rand,y_outgroup_fixed_rand,o_outgroup_fixed_rand
sub-104,1.251536065,1.311702131,-0.060166066,1,0,0.574,0.335345346,-1.109117337,0.256,-0.047340441,-0.047340441,0,1,1.251536065,0,1.311702131,0
sub-105,1.171224826,1.885279629,-0.714054803,1,0,-0.426,1.43926098,-1.214960371,1.03,-0.701229178,-0.701229178,0,1,1.171224826,0,1.885279629,0
sub-106,2.439819757,1.70363427,0.736185487,1,0,-0.426,0.84197575,-0.295734173,0.00677,0.749011112,0.749011112,0,1,2.439819757,0,1.70363427,0
sub-107,1.420933609,1.169721755,0.251211854,1,0,0.574,0.467173848,-1.179449315,0.164,0.26403748,0.26403748,0,1,1.420933609,0,1.169721755,0
sub-108,0.809752254,1.877999604,-1.06824735,1,0,-0.426,0.4199414,-0.888679465,-1.25,-1.055421725,-1.055421725,0,1,0.809752254,0,1.877999604,0
sub-109,2.086578301,2.085404411,0.00117389,1,0,-0.426,0.680348289,-0.333947122,1.43,0.013999515,0.013999515,0,1,2.086578301,0,2.085404411,0
sub-110,1.686985059,1.303241763,0.383743296,1,0,0.574,0.771201523,-1.292912535,-1.26,0.396568921,0.396568921,0,1,1.686985059,0,1.303241763,0
sub-111,1.116438255,1.231090097,-0.114651843,0,1,0.574,-0.691764793,0.146433278,-1.25,-0.101826217,0,-0.101826217,1,0,1.116438255,0,1.231090097
sub-112,2.430668283,2.211691436,0.218976847,1,0,-0.426,0.817466001,-0.931557862,0.991,0.231802472,0.231802472,0,1,2.430668283,0,2.211691436,0
sub-113,1.875673531,2.267180405,-0.391506874,1,0,-0.426,-1.142227911,0.36502216,0.813,-0.378681249,-0.378681249,0,1,1.875673531,0,2.267180405,0
sub-115,0.147191397,0.14294282,0.004248577,1,0,-0.426,0.750329892,-0.517222174,0.94,0.017074202,0.017074202,0,1,0.147191397,0,0.14294282,0
sub-116,2.324988913,2.16290187,0.162087043,1,0,-0.426,-0.449037222,-0.458864599,0.183,0.174912669,0.174912669,0,1,2.324988913,0,2.16290187,0
sub-117,2.292402437,2.154194966,0.138207471,1,0,-0.426,1.075760056,-0.887283578,0.308,0.151033096,0.151033096,0,1,2.292402437,0,2.154194966,0
sub-118,0.184860961,0.551657252,-0.366796291,1,0,-0.426,-1.060535185,0.783193711,0.214,-0.353970666,-0.353970666,0,1,0.184860961,0,0.551657252,0
sub-121,1.900276885,2.002703864,-0.102426979,1,0,-0.426,1.822941324,-1.128909272,0.276,-0.089601354,-0.089601354,0,1,1.900276885,0,2.002703864,0
sub-122,1.596880312,1.250080503,0.346799809,1,0,-0.426,1.759997806,-1.012660134,1.49,0.359625434,0.359625434,0,1,1.596880312,0,1.250080503,0
sub-124,2.265633894,1.895324459,0.370309434,1,0,0.574,0.750570699,-0.622688021,0.565,0.383135059,0.383135059,0,1,2.265633894,0,1.895324459,0
sub-125,0.926784115,0.981929858,-0.055145744,1,0,-0.426,1.781157475,-1.063575099,1.67,-0.042320119,-0.042320119,0,1,0.926784115,0,0.981929858,0
sub-126,1.257942594,1.242497852,0.015444742,1,0,0.574,-0.881321934,-0.422387959,0.357,0.028270367,0.028270367,0,1,1.257942594,0,1.242497852,0
sub-127,2.314798046,1.858639974,0.456158071,0,1,-0.426,0.726955566,-0.586700833,0.802,0.468983696,0,0.468983696,1,0,2.314798046,0,1.858639974
sub-128,1.916894567,1.502740549,0.414154018,0,1,0.574,0.354984567,0.35040772,-1.27,0.426979644,0,0.426979644,1,0,1.916894567,0,1.502740549
sub-129,2.337993454,1.631183522,0.706809932,0,1,0.574,-1.141721185,2.26385679,-1.26,0.719635557,0,0.719635557,1,0,2.337993454,0,1.631183522
sub-130,1.200507506,1.263819389,-0.063311884,0,1,-0.426,-1.262876457,1.236388009,1.18,-0.050486258,0,-0.050486258,1,0,1.200507506,0,1.263819389
sub-132,1.211842429,1.251386582,-0.039544153,0,1,-0.426,-0.107125145,-0.012961885,1.63,-0.026718527,0,-0.026718527,1,0,1.211842429,0,1.251386582
sub-133,1.517663932,1.585291557,-0.067627625,0,1,0.574,1.055715262,0.050489502,0.906,-0.054801999,0,-0.054801999,1,0,1.517663932,0,1.585291557
sub-134,2.192999873,1.751624749,0.441375124,0,1,-0.426,-0.770087816,0.121069128,-1.25,0.454200749,0,0.454200749,1,0,2.192999873,0,1.751624749
sub-135,1.881213354,0.338431006,1.542782347,0,1,0.574,-0.653236011,1.016904241,-1.25,1.555607973,0,1.555607973,1,0,1.881213354,0,0.338431006
sub-136,1.824104621,1.235817404,0.588287217,0,1,-0.426,0.220981734,-0.470718126,-1.24,0.601112842,0,0.601112842,1,0,1.824104621,0,1.235817404
sub-137,1.692235248,2.378575496,-0.686340247,0,1,0.574,-0.54577279,0.786471014,-0.791,-0.673514622,0,-0.673514622,1,0,1.692235248,0,2.378575496
sub-138,0.552310662,1.012241042,-0.45993038,0,1,0.574,-1.700501417,2.956665728,-0.168,-0.447104755,0,-0.447104755,1,0,0.552310662,0,1.012241042
sub-140,1.109746186,0.530105884,0.579640301,0,1,0.574,-0.738385115,0.945144959,-0.417,0.592465927,0,0.592465927,1,0,1.109746186,0,0.530105884
sub-141,1.253209923,1.2758223,-0.022612377,0,1,-0.426,0.509990371,-0.031470684,-0.91,-0.009786752,0,-0.009786752,1,0,1.253209923,0,1.2758223
sub-142,1.809064637,1.546989589,0.262075048,0,1,-0.426,-0.159519738,0.411082901,1.53,0.274900674,0,0.274900674,1,0,1.809064637,0,1.546989589
