subjID,ingroup_fixed_rand,outgroup_fixed_rand,in_out_indiv_logit,younger,older,ismale,tsnr,fd_mean,RT,in_out_demean,in_out_young,in_out_old,ones,y_ingroup_fixed_rand,o_ingroup_fixed_rand,y_outgroup_fixed_rand,o_outgroup_fixed_rand
sub-143,1.608417964,1.814882996,-0.206465032,0,1,-0.426,1.600072485,-0.251220667,-1.26,-0.193639407,0,-0.193639407,1,0,1.608417964,0,1.814882996
sub-144,1.608417964,1.814882996,-0.206465032,0,1,0.574,-2.070394775,1.857227144,-1.26,-0.193639407,0,-0.193639407,1,0,1.608417964,0,1.814882996
sub-147,0.891389664,1.89548127,-1.004091606,0,1,-0.426,-1.000297491,0.677173554,0.0118,-0.991265981,0,-0.991265981,1,0,0.891389664,0,1.89548127
sub-149,2.024902929,2.092976468,-0.068073538,0,1,0.574,-0.939580152,1.676162702,-1.25,-0.055247913,0,-0.055247913,1,0,2.024902929,0,2.092976468
sub-150,0.960517058,1.85154343,-0.891026373,1,0,-0.426,-0.537555218,-0.21095519,0.64,-0.878200748,-0.878200748,0,1,0.960517058,0,1.85154343,0
sub-151,2.084422572,2.195259308,-0.110836736,0,1,-0.426,-1.120709642,1.001343862,-1.25,-0.098011111,0,-0.098011111,1,0,2.084422572,0,2.195259308
sub-152,1.235301783,1.316582089,-0.081280306,0,1,0.574,-1.252682339,1.56148429,-1.26,-0.068454681,0,-0.068454681,1,0,1.235301783,0,1.316582089
sub-153,2.375457891,1.686136268,0.689321623,1,0,0.574,0.007521336,-0.61313535,-1.24,0.702147249,0.702147249,0,1,2.375457891,0,1.686136268,0
sub-154,0.601798423,2.017859154,-1.416060731,0,1,-0.426,0.280333975,0.064014578,0.316,-1.403235106,0,-1.403235106,1,0,0.601798423,0,2.017859154
sub-155,1.635043363,1.385020588,0.250022775,1,0,0.574,0.898209256,-1.233512086,0.383,0.2628484,0.2628484,0,1,1.635043363,0,1.385020588,0
sub-156,1.200474691,1.262678067,-0.062203376,1,0,-0.426,-1.213480721,0.657957535,1.02,-0.049377751,-0.049377751,0,1,1.200474691,0,1.262678067,0
sub-157,1.72831041,1.762675682,-0.034365271,1,0,0.574,-0.808294548,-0.32672095,0.195,-0.021539646,-0.021539646,0,1,1.72831041,0,1.762675682,0
sub-158,1.891966782,1.85838176,0.033585022,1,0,0.574,-0.339626837,-0.648509396,1.02,0.046410647,0.046410647,0,1,1.891966782,0,1.85838176,0
sub-159,0.683843214,1.586016911,-0.902173697,1,0,-0.426,1.218499501,-1.182638625,-0.494,-0.889348072,-0.889348072,0,1,0.683843214,0,1.586016911,0
