model_id	policy	specification	random_effects	n_participants	n_trials	singular	convergence_message	log_likelihood	AIC
separate_fairness_last_complete_block_random_offer_slope	last_complete_block	separate_rating_model	random_offer_slope	42	3969	FALSE	n/a	-834.110908601749	1698.2218172035
separate_fairness_last_complete_block_random_intercept	last_complete_block	separate_rating_model	random_intercept	42	3969	FALSE	n/a	-943.400009638057	1912.80001927611
separate_likeability_last_complete_block_random_offer_slope	last_complete_block	separate_rating_model	random_offer_slope	42	3969	FALSE	n/a	-831.764571636921	1693.52914327384
separate_likeability_last_complete_block_random_intercept	last_complete_block	separate_rating_model	random_intercept	42	3969	FALSE	n/a	-935.896109958698	1897.7922199174
joint_last_complete_block_random_offer_slope	last_complete_block	joint_rating_model	random_offer_slope	42	3969	FALSE	n/a	-830.595501474845	1699.19100294969
joint_last_complete_block_random_intercept	last_complete_block	joint_rating_model	random_intercept	42	3969	FALSE	n/a	-933.382474092886	1900.76494818577
age_interaction_fairness_last_complete_block_random_offer_slope	last_complete_block	age_interaction_model	random_offer_slope	42	3969	FALSE	n/a	-830.857461393611	1699.71492278722
age_interaction_likeability_last_complete_block_random_offer_slope	last_complete_block	age_interaction_model	random_offer_slope	42	3969	FALSE	n/a	-831.308767801536	1700.61753560307
separate_fairness_first_complete_block_random_offer_slope	first_complete_block	separate_rating_model	random_offer_slope	42	3969	FALSE	n/a	-834.110908601749	1698.2218172035
separate_fairness_first_complete_block_random_intercept	first_complete_block	separate_rating_model	random_intercept	42	3969	FALSE	n/a	-943.400009638057	1912.80001927611
separate_likeability_first_complete_block_random_offer_slope	first_complete_block	separate_rating_model	random_offer_slope	42	3969	FALSE	n/a	-830.473986145971	1690.94797229194
separate_likeability_first_complete_block_random_intercept	first_complete_block	separate_rating_model	random_intercept	42	3969	FALSE	n/a	-933.630495774379	1893.26099154876
joint_first_complete_block_random_offer_slope	first_complete_block	joint_rating_model	random_offer_slope	42	3969	FALSE	n/a	-829.22177406481	1696.44354812962
joint_first_complete_block_random_intercept	first_complete_block	joint_rating_model	random_intercept	42	3969	FALSE	n/a	-931.065918492178	1896.13183698436
age_interaction_fairness_first_complete_block_random_offer_slope	first_complete_block	age_interaction_model	random_offer_slope	42	3969	FALSE	n/a	-830.857461393611	1699.71492278722
age_interaction_likeability_first_complete_block_random_offer_slope	first_complete_block	age_interaction_model	random_offer_slope	42	3969	FALSE	n/a	-829.740864695453	1697.48172939091
separate_fairness_exclude_ambiguous_sessions_random_offer_slope	exclude_ambiguous_sessions	separate_rating_model	random_offer_slope	41	3874	FALSE	n/a	-821.28165067033	1672.56330134066
separate_fairness_exclude_ambiguous_sessions_random_intercept	exclude_ambiguous_sessions	separate_rating_model	random_intercept	41	3874	FALSE	n/a	-926.360331757775	1878.72066351555
separate_likeability_exclude_ambiguous_sessions_random_offer_slope	exclude_ambiguous_sessions	separate_rating_model	random_offer_slope	41	3874	FALSE	n/a	-818.901062153278	1667.80212430656
separate_likeability_exclude_ambiguous_sessions_random_intercept	exclude_ambiguous_sessions	separate_rating_model	random_intercept	41	3874	FALSE	n/a	-918.769193538461	1863.53838707692
joint_exclude_ambiguous_sessions_random_offer_slope	exclude_ambiguous_sessions	joint_rating_model	random_offer_slope	41	3874	FALSE	n/a	-817.347854410792	1672.69570882158
joint_exclude_ambiguous_sessions_random_intercept	exclude_ambiguous_sessions	joint_rating_model	random_intercept	41	3874	FALSE	n/a	-916.057794652205	1866.11558930441
age_interaction_fairness_exclude_ambiguous_sessions_random_offer_slope	exclude_ambiguous_sessions	age_interaction_model	random_offer_slope	41	3874	FALSE	n/a	-817.627480884974	1673.25496176995
age_interaction_likeability_exclude_ambiguous_sessions_random_offer_slope	exclude_ambiguous_sessions	age_interaction_model	random_offer_slope	41	3874	FALSE	n/a	-818.441064097517	1674.88212819503
