policy	rating_test_family	rating_dimension	rating_timepoint	rating_contrast	n	pearson_r	pearson_p	spearman_rho	spearman_p	age_group_adjusted_standardized_beta	age_group_adjusted_t	age_group_adjusted_df	age_group_adjusted_p	rating_by_age_group_interaction_beta	rating_by_age_group_interaction_t	rating_by_age_group_interaction_df	rating_by_age_group_interaction_p	younger_n	younger_pearson_r	younger_pearson_p	younger_spearman_rho	younger_spearman_p	older_n	older_pearson_r	older_pearson_p	older_spearman_rho	older_spearman_p	pearson_p_fdr_bh	spearman_p_fdr_bh	age_group_adjusted_p_fdr_bh	rating_by_age_group_interaction_p_fdr_bh
last_complete_block	partner_contrasts	anger	post	similar_minus_dissimilar	42	0.34686671	0.024417681	0.39742325	0.0091555554	0.38153413	2.5616313	39	0.014397804	0.17537027	0.58072999	38	0.56485091	21	0.33805358	0.13391766	0.37921274	0.090006999	21	0.41084199	0.064300286	0.43849151	0.046768331	0.097670725	0.036622222	0.067621306	0.56485091
last_complete_block	partner_contrasts	fairness	post	similar_minus_dissimilar	42	0.032207724	0.83953903	-0.074953967	0.63709644	-0.011124466	-0.066734164	39	0.94713428	0.52243853	1.5702727	38	0.12464216	21	-0.34924785	0.12071301	-0.39648306	0.075171758	21	0.18127393	0.43164296	0.13281238	0.56603062	0.8482721	0.70491257	0.94713428	0.29815724
last_complete_block	partner_contrasts	likeability	post	similar_minus_dissimilar	42	0.060709657	0.70251879	0.060197927	0.70491257	0.060709657	0.38347904	39	0.70344717	0.42974074	1.232912	38	0.2251817	21	-0.23629756	0.30242728	-0.38405194	0.085648621	21	0.18897279	0.41199609	0.42278948	0.056199838	0.8482721	0.70491257	0.89858116	0.36029072
last_complete_block	partner_contrasts	satisfaction	post	similar_minus_dissimilar	42	-0.14985238	0.34353207	-0.1158718	0.46493812	-0.18276592	-1.1500787	39	0.25711501	0.46970658	1.4726572	38	0.14907862	21	-0.5184063	0.016057612	-0.47877767	0.028110396	21	0.0070136565	0.97592928	0.12225985	0.59753697	0.68706414	0.70491257	0.51423002	0.29815724
last_complete_block	partner_contrasts	fairness	pre	similar_minus_dissimilar	42	0.092742751	0.55910968	0.071984524	0.65053231	0.062383019	0.37756194	39	0.70780306	0.41133441	1.0971003	38	0.27950135	21	-0.21757014	0.34343666	-0.20987923	0.36117789	21	0.16906294	0.4638008	0.17618482	0.44489847	0.8482721	0.70491257	0.89858116	0.37266847
last_complete_block	partner_contrasts	likeability	pre	similar_minus_dissimilar	42	-0.37174991	0.015346771	-0.4054637	0.0077240795	-0.36833306	-2.4957901	39	0.016905327	-0.59303746	-2.0934241	38	0.043038362	21	-0.079583071	0.73166727	-0.069010912	0.76628538	21	-0.56742078	0.007301669	-0.71407756	0.00027708209	0.097670725	0.036622222	0.067621306	0.29815724
last_complete_block	change_in_partner_contrast	fairness	post-minus-pre	post_minus_pre_of_similar_minus_dissimilar	41	-0.030825941	0.8482721	-0.12750396	0.42694754	-0.044278345	-0.27309556	38	0.78625852	0.27137246	0.78723955	37	0.43615566	20	-0.23904908	0.31008772	-0.24675209	0.29427816	21	0.045786912	0.84376754	0.0074808125	0.9743265	0.8482721	0.70491257	0.89858116	0.49846362
last_complete_block	change_in_partner_contrast	likeability	post-minus-pre	post_minus_pre_of_similar_minus_dissimilar	41	0.24969797	0.11538167	0.23383064	0.14117487	0.2494324	1.5984139	38	0.11823401	0.60160083	1.756704	37	0.087242272	20	-0.18243163	0.44140615	-0.26660569	0.25585513	21	0.42189461	0.056778069	0.55893309	0.0084399642	0.30768446	0.37646631	0.3152907	0.29815724
first_complete_block	partner_contrasts	anger	post	similar_minus_dissimilar	42	0.3721774	0.015220181	0.45341963	0.0025644285	0.39933055	2.7187046	39	0.0097306691	0.20853597	0.70138955	38	0.48733341	21	0.33805358	0.13391766	0.37921274	0.090006999	21	0.44257591	0.04452818	0.49411047	0.022803616	0.060880724	0.015453216	0.050401576	0.48733341
first_complete_block	partner_contrasts	fairness	post	similar_minus_dissimilar	42	0.042911519	0.787291	-0.051822661	0.74447514	-0.0013536618	-0.0080819227	39	0.99359283	0.54175562	1.6245477	38	0.11252606	21	-0.34924785	0.12071301	-0.39648306	0.075171758	21	0.19638143	0.39355942	0.14282453	0.53683488	0.89857884	0.74447514	0.99359283	0.22505212
