participant_id	age	sex	age_group	has_any_ultimatum_ratings	ambiguous_changed_repeat	primary_rule	pre_present	pre_source_file	pre_complete_blocks	pre_primary_block	post_present	post_source_file	post_complete_blocks	post_primary_block	integrity_note
sub-122	20	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/122/sub122_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/122/sub122_Bargaining-Ratings-2.csv	1	1	
sub-124	20	M	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/124/sub124_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/124/sub124_Bargaining-Ratings-2.csv	1	1	
sub-125	21	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/125/sub125_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/125/sub125_Bargaining-Ratings-2.csv	1	1	
sub-126	20	M	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/126/sub126_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/126/sub126_Bargaining-Ratings-2.csv	1	1	
sub-127	76	F	older	True	False	last_complete_block	True	stimuli/psychopy/logs/127/sub127_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/127/sub127_Bargaining-Ratings-2.csv	1	1	
sub-128	63	M	older	True	False	last_complete_block	True	stimuli/psychopy/logs/128/sub128_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/128/sub128_Bargaining-Ratings-2.csv	1	1	
sub-129	68	M	older	True	False	last_complete_block	True	stimuli/psychopy/logs/129/sub129_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/129/sub129_Bargaining-Ratings-2.csv	1	1	
sub-130	68	F	older	True	False	last_complete_block	True	stimuli/psychopy/logs/130/sub130_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/130/sub130_Bargaining-Ratings-2.csv	1	1	
sub-132	73	F	older	True	False	last_complete_block	True	stimuli/psychopy/logs/132/sub132_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/132/sub132_Bargaining-Ratings-2.csv	1	1	
sub-133	70	M	older	True	False	last_complete_block	True	stimuli/psychopy/logs/133/sub133_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/133/sub133_Bargaining-Ratings-2.csv	1	1	
sub-134	65	F	older	True	True	last_complete_block	True	stimuli/psychopy/logs/134/sub134_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/134/sub134_Bargaining-Ratings-2.csv	2	2	
sub-135	69	M	older	True	False	last_complete_block	True	stimuli/psychopy/logs/135/sub135_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/135/sub135_Bargaining-Ratings-2.csv	1	1	
sub-136	65	F	older	True	False	last_complete_block	True	stimuli/psychopy/logs/136/sub136_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/136/sub136_Bargaining-Ratings-2.csv	1	1	
sub-137	72	M	older	True	False	last_complete_block	True	stimuli/psychopy/logs/137/sub137_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/137/sub137_Bargaining-Ratings-2.csv	1	1	
sub-138	68	M	older	True	False	last_complete_block	True	stimuli/psychopy/logs/138/sub138_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/138/sub138_Bargaining-Ratings-2.csv	1	1	
sub-140	68	M	older	True	False	last_complete_block	True	stimuli/psychopy/logs/140/sub140_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/140/sub140_Bargaining-Ratings-2.csv	1	1	
sub-141	76	F	older	True	False	last_complete_block	True	stimuli/psychopy/logs/141/sub141_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/141/sub141_Bargaining-Ratings-2.csv	1	1	
sub-142	70	F	older	True	False	last_complete_block	True	stimuli/psychopy/logs/142/sub142_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/142/sub142_Bargaining-Ratings-2.csv	1	1	
sub-143	73	F	older	False	False	last_complete_block	False		0		False		0		no Ultimatum ratings source file exists
sub-144	72	M	older	True	True	last_complete_block	True	stimuli/psychopy/logs/144/sub144_Bargaining-Ratings-1.csv	2	2	True	stimuli/psychopy/logs/144/sub144_Bargaining-Ratings-2.csv	2	2	ratings are unique to sub-144; both source files contain two blocks
sub-147	65	F	older	True	False	last_complete_block	True	stimuli/psychopy/logs/147/sub147_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/147/sub147_Bargaining-Ratings-2.csv	1	1	
sub-149	66	M	older	True	False	last_complete_block	True	stimuli/psychopy/logs/149/sub149_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/149/sub149_Bargaining-Ratings-2.csv	1	1	
sub-150	23	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/150/sub150_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/150/sub150_Bargaining-Ratings-2.csv	1	1	
sub-151	65	F	older	True	False	last_complete_block	True	stimuli/psychopy/logs/151/sub151_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/151/sub151_Bargaining-Ratings-2.csv	1	1	
sub-152	66	M	older	True	False	last_complete_block	True	stimuli/psychopy/logs/152/sub152_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/152/sub152_Bargaining-Ratings-2.csv	1	1	
sub-153	29	M	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/153/sub153_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/153/sub153_Bargaining-Ratings-2.csv	1	1	
sub-154	67	F	older	True	False	last_complete_block	True	stimuli/psychopy/logs/154/sub154_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/154/sub154_Bargaining-Ratings-2.csv	1	1	
sub-155	30	M	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/155/sub155_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/155/sub155_Bargaining-Ratings-2.csv	1	1	
sub-156	30	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/156/sub156_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/156/sub156_Bargaining-Ratings-2.csv	1	1	
sub-157	25	M	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/157/sub157_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/157/sub157_Bargaining-Ratings-2.csv	1	1	
sub-158	26	M	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/158/sub158_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/158/sub158_Bargaining-Ratings-2.csv	1	1	
sub-159	24	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/159/sub159_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/159/sub159_Bargaining-Ratings-2.csv	1	1	
