participant_id	age	sex	age_group	has_any_ultimatum_ratings	ambiguous_changed_repeat	primary_rule	pre_present	pre_source_file	pre_complete_blocks	pre_primary_block	post_present	post_source_file	post_complete_blocks	post_primary_block	integrity_note
sub-104	20	M	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/104/sub104_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/104/sub104_Bargaining-Ratings-2.csv	1	1	
sub-105	21	F	younger	True	True	last_complete_block	False		0		True	stimuli/psychopy/logs/105/sub105_Bargaining-Ratings-2.csv	2	2	
sub-106	20	F	younger	False	False	last_complete_block	False		0		False		0		
sub-107	23	M	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/107/sub107_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/107/sub107_Bargaining-Ratings-2.csv	1	1	
sub-108	21	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/108/sub108_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/108/sub108_Bargaining-Ratings-2.csv	1	1	
sub-109	28	F	younger	False	False	last_complete_block	False		0		False		0		
sub-110	20	M	younger	False	False	last_complete_block	False		0		False		0		
sub-111	80	M	older	True	False	last_complete_block	True	stimuli/psychopy/logs/111/sub111_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/111/sub111_Bargaining-Ratings-2.csv	1	1	
sub-112	23	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/112/sub112_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/112/sub112_Bargaining-Ratings-2.csv	1	1	
sub-113	34	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/113/sub113_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/113/sub113_Bargaining-Ratings-2.csv	1	1	
sub-115	21	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/115/sub115_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/115/sub115_Bargaining-Ratings-2.csv	1	1	
sub-116	25	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/116/sub116_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/116/sub116_Bargaining-Ratings-2.csv	1	1	
sub-117	20	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/117/sub117_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/117/sub117_Bargaining-Ratings-2.csv	1	1	
sub-118	21	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/118/sub118_Bargaining-Ratings-1.csv	1	1	False		0		
sub-121	20	F	younger	True	False	last_complete_block	True	stimuli/psychopy/logs/121/sub121_Bargaining-Ratings-1.csv	1	1	True	stimuli/psychopy/logs/121/sub121_Bargaining-Ratings-2.csv	1	1	
