policy	age_group	timepoint	rating_dimension	partner	n	mean	sd	sem	median
last_complete_block	all	post	anger	computer	42	4.7857143	2.4942442	0.38487024	5
last_complete_block	all	post	anger	dissimilar	42	4.7380952	2.2421628	0.34597323	5
last_complete_block	all	post	anger	similar	42	4.8571429	2.3013403	0.35510452	5
last_complete_block	all	post	fairness	computer	42	5.452381	2.2867847	0.35285855	5
last_complete_block	all	post	fairness	dissimilar	42	6.2380952	2.2932512	0.35385635	6
last_complete_block	all	post	fairness	similar	42	6.3095238	2.300457	0.35496821	6
last_complete_block	all	post	likeability	computer	42	5	2.3269366	0.35905412	5
last_complete_block	all	post	likeability	dissimilar	42	6.3333333	2.1602469	0.33333333	6
last_complete_block	all	post	likeability	similar	42	6.0952381	2.173112	0.33531846	6
last_complete_block	all	post	satisfaction	computer	42	5.1428571	1.9200029	0.29626288	5
last_complete_block	all	post	satisfaction	dissimilar	42	5.7619048	2.0339739	0.31384899	6
last_complete_block	all	post	satisfaction	similar	42	5.7142857	2.0634533	0.31839776	5
last_complete_block	all	pre	fairness	computer	42	5.1666667	2.2077101	0.34065706	5
last_complete_block	all	pre	fairness	dissimilar	42	6.2142857	1.9447956	0.30008848	5
last_complete_block	all	pre	fairness	similar	42	6.2380952	2.2065261	0.34047436	5.5
last_complete_block	all	pre	likeability	computer	42	4.9047619	2.4275806	0.37458382	5
last_complete_block	all	pre	likeability	dissimilar	42	6.6666667	1.6625967	0.25654423	6.5
last_complete_block	all	pre	likeability	similar	42	6.5952381	1.739912	0.26847425	6
last_complete_block	older	post	anger	computer	21	4.9047619	2.4475449	0.53409809	5
last_complete_block	older	post	anger	dissimilar	21	5.1428571	1.8516402	0.40406102	5
last_complete_block	older	post	anger	similar	21	5	2.1679483	0.47308511	5
last_complete_block	older	post	fairness	computer	21	5.7619048	2.7911425	0.60907722	5
last_complete_block	older	post	fairness	dissimilar	21	6.6666667	2.5166115	0.54916965	7
last_complete_block	older	post	fairness	similar	21	7.2380952	2.4880668	0.54294068	8
last_complete_block	older	post	likeability	computer	21	5.5238095	2.8569048	0.62342773	5
last_complete_block	older	post	likeability	dissimilar	21	7.1428571	2.1745279	0.47452088	7
last_complete_block	older	post	likeability	similar	21	6.9047619	2.4475449	0.53409809	8
last_complete_block	older	post	satisfaction	computer	21	5.3333333	2.1055482	0.45946829	5
last_complete_block	older	post	satisfaction	dissimilar	21	6.0952381	2.1657507	0.47260555	6
last_complete_block	older	post	satisfaction	similar	21	6.3333333	2.2435092	0.48957383	7
last_complete_block	older	pre	fairness	computer	21	5.3809524	2.4181851	0.52769124	5
last_complete_block	older	pre	fairness	dissimilar	21	6.2380952	2.3001035	0.50192374	5
last_complete_block	older	pre	fairness	similar	21	6.5714286	2.730777	0.59590439	6
last_complete_block	older	pre	likeability	computer	21	5.047619	2.9744948	0.64908797	5
last_complete_block	older	pre	likeability	dissimilar	21	7	1.7606817	0.38421224	7
last_complete_block	older	pre	likeability	similar	21	6.9047619	1.8948552	0.4134913	7
last_complete_block	younger	post	anger	computer	21	4.6666667	2.5948667	0.56624634	5
last_complete_block	younger	post	anger	dissimilar	21	4.3333333	2.5560386	0.55777335	5
last_complete_block	younger	post	anger	similar	21	4.7142857	2.4727082	0.53958916	5
last_complete_block	younger	post	fairness	computer	21	5.1428571	1.6518388	0.36046078	5
last_complete_block	younger	post	fairness	dissimilar	21	5.8095238	2.0154168	0.4398	6
last_complete_block	younger	post	fairness	similar	21	5.3809524	1.687489	0.36824028	6
last_complete_block	younger	post	likeability	computer	21	4.4761905	1.536849	0.33536794	5
last_complete_block	younger	post	likeability	dissimilar	21	5.5238095	1.8606195	0.40602045	6
last_complete_block	younger	post	likeability	similar	21	5.2857143	1.5212777	0.33197	5
last_complete_block	younger	post	satisfaction	computer	21	4.952381	1.7457431	0.38095238	5
last_complete_block	younger	post	satisfaction	dissimilar	21	5.4285714	1.8860389	0.41156744	6
last_complete_block	younger	post	satisfaction	similar	21	5.0952381	1.7001401	0.37100097	5
last_complete_block	younger	pre	fairness	computer	21	4.952381	2.0118695	0.43902593	5
last_complete_block	younger	pre	fairness	dissimilar	21	6.1904762	1.5690458	0.34239387	6
last_complete_block	younger	pre	fairness	similar	21	5.9047619	1.5134319	0.33025792	5
last_complete_block	younger	pre	likeability	computer	21	4.7619048	1.7861904	0.3897787	5
last_complete_block	younger	pre	likeability	dissimilar	21	6.3333333	1.5275252	0.33333333	6
last_complete_block	younger	pre	likeability	similar	21	6.2857143	1.5537972	0.33906635	6
first_complete_block	all	post	anger	computer	42	4.8809524	2.380842	0.3673719	5
first_complete_block	all	post	anger	dissimilar	42	4.8333333	2.1174843	0.32673492	5
