condition	design_index	participant	age_group	cluster_mean_cope	cluster_mean_varcope	inverse_varcope_weight
similar	1	sub-104	younger	0.705221	23.329716	0.042863788
similar	2	sub-105	younger	-0.872477	14.501462	0.0689585643
similar	3	sub-106	younger	4.82269	24.409611	0.0409674697
similar	4	sub-107	younger	3.407579	36.351309	0.0275093257
similar	5	sub-108	younger	3.090817	14.29527	0.0699532083
similar	6	sub-109	younger	3.26272	56.781073	0.0176115023
similar	7	sub-110	younger	0.625158	20.462303	0.0488703544
similar	8	sub-111	older	0.411498	45.236638	0.0221059752
similar	9	sub-112	younger	2.438716	56.080234	0.0178315946
similar	10	sub-113	younger	3.234944	60.84032	0.0164364684
similar	11	sub-115	younger	2.520018	51.428563	0.0194444476
similar	12	sub-116	younger	2.222378	34.581499	0.0289171964
similar	13	sub-117	younger	-0.309575	13.133441	0.0761415078
similar	14	sub-118	younger	8.189951	26.949493	0.0371064495
similar	15	sub-121	younger	0.637329	20.023278	0.0499418727
similar	16	sub-122	younger	-2.717422	13.035583	0.0767131014
similar	17	sub-124	younger	-2.294389	26.127218	0.0382742625
similar	18	sub-125	younger	-0.638863	18.8031	0.0531827199
similar	19	sub-126	younger	-9.365104	30.266183	0.0330401756
similar	20	sub-127	older	-5.839524	16.190003	0.0617665111
similar	21	sub-128	older	3.786329	48.97432	0.0204188644
similar	22	sub-129	older	10.752179	62.635939	0.0159652751
similar	23	sub-130	older	1.318451	38.044906	0.0262847278
similar	24	sub-132	older	-0.985161	35.712125	0.0280016941
similar	25	sub-133	older	-2.344715	46.29978	0.0215983748
similar	26	sub-134	older	-0.237997	82.05615	0.012186777
similar	27	sub-135	older	13.960619	95.744499	0.0104444643
similar	28	sub-136	older	-5.614523	19.024018	0.0525651311
similar	29	sub-137	older	0.624892	72.003916	0.0138881335
similar	30	sub-138	older	-1.344713	57.344932	0.0174383326
similar	31	sub-140	older	-0.292918	68.557109	0.0145863794
similar	32	sub-141	older	-2.936836	22.187471	0.0450704814
similar	33	sub-142	older	-2.483914	54.141794	0.0184700197
similar	34	sub-143	older	-2.375022	70.486232	0.0141871678
similar	35	sub-144	older	25.173572	370.961022	0.00269570101
similar	36	sub-147	older	7.666502	58.515456	0.017089502
similar	37	sub-149	older	12.723306	134.089863	0.0074576853
similar	38	sub-150	younger	1.215288	52.052593	0.0192113388
similar	39	sub-151	older	4.386607	117.334746	0.00852262466
similar	40	sub-152	older	5.061155	73.723041	0.0135642804
similar	41	sub-153	younger	6.486921	30.143199	0.0331749792
similar	42	sub-154	older	-11.470665	276.516994	0.00361641426
similar	43	sub-155	younger	3.777711	71.818353	0.0139240174
similar	44	sub-156	younger	2.925006	88.900483	0.0112485328
similar	45	sub-157	younger	2.862205	20.001414	0.0499964652
similar	46	sub-158	younger	2.11868	14.482056	0.069050969
similar	47	sub-159	younger	4.116193	36.285574	0.0275591617
dissimilar	1	sub-104	younger	-4.089825	30.748853	0.0325215383
dissimilar	2	sub-105	younger	-3.360182	10.143845	0.098581948
dissimilar	3	sub-106	younger	-3.089171	13.135295	0.0761307607
dissimilar	4	sub-107	younger	7.84244	21.832517	0.0458032393
dissimilar	5	sub-108	younger	0.473557	9.890004	0.101112194
dissimilar	6	sub-109	younger	-6.533107	41.785207	0.0239319145
dissimilar	7	sub-110	younger	-4.601992	32.88202	0.0304117569
dissimilar	8	sub-111	older	8.575553	57.054699	0.0175270401
dissimilar	9	sub-112	younger	-6.796044	88.739595	0.0112689268
dissimilar	10	sub-113	younger	-2.72644	51.179154	0.0195392054
dissimilar	11	sub-115	younger	1.285993	47.524903	0.0210416
dissimilar	12	sub-116	younger	0.619207	26.095746	0.038320422
dissimilar	13	sub-117	younger	-1.79309	17.342919	0.0576604204
dissimilar	14	sub-118	younger	-4.543256	26.358208	0.0379388462
dissimilar	15	sub-121	younger	-1.257747	11.527106	0.0867520434
dissimilar	16	sub-122	younger	0.573102	28.811894	0.0347078883
dissimilar	17	sub-124	younger	-0.29304	19.933966	0.0501656319
dissimilar	18	sub-125	younger	-3.568894	15.946144	0.0627110855
dissimilar	19	sub-126	younger	-5.720948	15.006221	0.0666390292
dissimilar	20	sub-127	older	-0.08977	20.593382	0.0485592896
dissimilar	21	sub-128	older	0.588892	32.592464	0.0306819392
dissimilar	22	sub-129	older	-5.34956	44.470157	0.0224869905
dissimilar	23	sub-130	older	3.000438	42.094605	0.0237560134
dissimilar	24	sub-132	older	5.498885	37.155036	0.0269142519
dissimilar	25	sub-133	older	3.035628	34.622232	0.0288831754
dissimilar	26	sub-134	older	4.355052	61.178461	0.016345622
dissimilar	27	sub-135	older	-0.20031	59.391167	0.0168375206
dissimilar	28	sub-136	older	2.437887	31.063837	0.0321917733
dissimilar	29	sub-137	older	4.635863	47.126524	0.0212194729
dissimilar	30	sub-138	older	-4.466682	53.500226	0.0186915098
dissimilar	31	sub-140	older	2.161102	58.217147	0.0171770698
dissimilar	32	sub-141	older	7.480644	17.205233	0.0581218516
dissimilar	33	sub-142	older	-1.734479	44.247551	0.0226001209
dissimilar	34	sub-143	older	4.289133	48.646009	0.0205566709
dissimilar	35	sub-144	older	-3.628847	376.425457	0.00265656847
dissimilar	36	sub-147	older	5.67956	144.335476	0.00692830361
dissimilar	37	sub-149	older	-3.151426	95.052467	0.0105205055
dissimilar	38	sub-150	younger	7.690311	40.014176	0.0249911431
dissimilar	39	sub-151	older	4.832292	62.195546	0.0160783217
dissimilar	40	sub-152	older	-9.044649	99.830099	0.010017019
dissimilar	41	sub-153	younger	-2.756935	23.019933	0.043440613
dissimilar	42	sub-154	older	8.330844	181.58711	0.00550699882
dissimilar	43	sub-155	younger	-2.187847	33.118132	0.0301949397
dissimilar	44	sub-156	younger	-7.318445	94.177925	0.0106181995
dissimilar	45	sub-157	younger	0.400824	61.92138	0.0161495109
dissimilar	46	sub-158	younger	-4.770773	24.412294	0.0409629673
dissimilar	47	sub-159	younger	-4.990878	30.332726	0.032967693
