artifact	value
source_repository	DVS-Lab/srndna-ug
source_commit	59a6c1e4b9e12be829e101075be4826e9e2fcfdc
source_path	behavioral_analyses/figures/manu/task_diagram.png
sha256	91588a44078a421158ec1422db88bd50483d99fae4888e891a0a7342f02b9ae6
revision_status	unchanged task schematic
