design_index	participant	age_group	similar_minus_dissimilar
1	sub-104	younger	7.966923
2	sub-105	younger	2.2438
3	sub-106	younger	8.204377
4	sub-107	younger	-5.378808
5	sub-108	younger	1.890532
6	sub-109	younger	10.265778
7	sub-110	younger	5.164595
8	sub-111	older	-8.334892
9	sub-112	younger	7.354147
10	sub-113	younger	8.4349
11	sub-115	younger	1.177619
12	sub-116	younger	1.61258
13	sub-117	younger	1.942802
14	sub-118	younger	21.053164
15	sub-121	younger	0.834325
16	sub-122	younger	-3.652579
17	sub-124	younger	-1.929508
18	sub-125	younger	2.193443
19	sub-126	younger	-5.682368
20	sub-127	older	-6.314348
21	sub-128	older	4.395912
22	sub-129	older	15.180746
23	sub-130	older	-1.609546
24	sub-132	older	-5.861113
25	sub-133	older	-3.31869
26	sub-134	older	-5.280948
27	sub-135	older	13.222061
28	sub-136	older	-8.729844
29	sub-137	older	-4.480489
30	sub-138	older	1.681985
31	sub-140	older	-6.654168
32	sub-141	older	-10.660068
33	sub-142	older	-1.395768
34	sub-143	older	-8.557266
35	sub-144	older	36.432146
36	sub-147	older	3.712144
37	sub-149	older	27.420745
38	sub-150	younger	-5.755035
39	sub-151	older	3.097978
40	sub-152	older	14.47687
41	sub-153	younger	9.469096
42	sub-154	older	-22.777309
43	sub-155	younger	4.522012
44	sub-156	younger	9.518749
45	sub-157	younger	2.184218
46	sub-158	younger	7.880775
47	sub-159	younger	9.840876
