design_index	participant	age_group	similar_minus_dissimilar	nuisance_adjusted_for_display
1	sub-104	younger	7.966923	17.1678557
2	sub-105	younger	2.2438	16.2210049
3	sub-106	younger	8.204377	9.02957114
4	sub-107	younger	-5.378808	6.13134619
5	sub-108	younger	1.890532	6.68117551
6	sub-109	younger	10.265778	18.8719703
7	sub-110	younger	5.164595	9.45695375
8	sub-111	older	-8.334892	-12.6560338
9	sub-112	younger	7.354147	17.7855945
10	sub-113	younger	8.4349	9.65797527
11	sub-115	younger	1.177619	9.04622548
12	sub-116	younger	1.61258	6.63744591
13	sub-117	younger	1.942802	9.70741271
14	sub-118	younger	21.053164	15.4874067
15	sub-121	younger	0.834325	9.10855029
16	sub-122	younger	-3.652579	7.49152746
17	sub-124	younger	-1.929508	2.8389975
18	sub-125	younger	2.193443	15.0666531
19	sub-126	younger	-5.682368	-0.664455035
20	sub-127	older	-6.314348	-0.658000645
21	sub-128	older	4.395912	-4.58501212
22	sub-129	older	15.180746	-9.36002147
23	sub-130	older	-1.609546	-6.93400379
24	sub-132	older	-5.861113	-1.43632161
25	sub-133	older	-3.31869	-4.42467448
26	sub-134	older	-5.280948	-8.12476209
27	sub-135	older	13.222061	1.91430073
28	sub-136	older	-8.729844	-5.6214529
29	sub-137	older	-4.480489	-12.8857813
30	sub-138	older	1.681985	-22.0916184
31	sub-140	older	-6.654168	-14.1209158
32	sub-141	older	-10.660068	-12.3910813
33	sub-142	older	-1.395768	-0.823994
34	sub-143	older	-8.557266	-11.792687
35	sub-144	older	36.432146	18.1979484
36	sub-147	older	3.712144	0.459366312
37	sub-149	older	27.420745	10.4453924
38	sub-150	younger	-5.755035	-1.23590494
39	sub-151	older	3.097978	-6.47776211
40	sub-152	older	14.47687	-3.27832215
41	sub-153	younger	9.469096	11.4396748
42	sub-154	older	-22.777309	-22.0415232
43	sub-155	younger	4.522012	14.2279157
44	sub-156	younger	9.518749	8.47130253
45	sub-157	younger	2.184218	4.5957317
46	sub-158	younger	7.880775	15.3655445
47	sub-159	younger	9.840876	17.1300434
