onset	duration	trial_type	response_time	Offer	IsFairBlock
4.009460	3.531260	missed_trial	n/a	1	0
4.009460	33.500000	block_ingroup_unfair	n/a	n/a	n/a
8.298970	3.516860	event_reject_ingroup	2.589890	1	0
8.298970	3.516860	event_ingroup	2.589890	1	0
8.298970	0	event_RT	2.589890	1	0
12.573900	3.515920	event_reject_ingroup	2.017680	1	0
12.573900	3.515920	event_ingroup	2.017680	1	0
12.573900	0	event_RT	2.017680	1	0
16.847800	3.516810	event_accept_ingroup	2.180930	10	0
16.847800	3.516810	event_ingroup	2.180930	10	0
16.847800	0	event_RT	2.180930	10	0
21.122700	3.516220	event_reject_ingroup	2.743990	1	0
21.122700	3.516220	event_ingroup	2.743990	1	0
21.122700	0	event_RT	2.743990	1	0
25.397100	3.517190	event_reject_ingroup	1.838520	3	0
25.397100	3.517190	event_ingroup	1.838520	3	0
25.397100	0	event_RT	1.838520	3	0
29.671600	3.516300	event_reject_ingroup	1.234010	1	0
29.671600	3.516300	event_ingroup	1.234010	1	0
29.671600	0	event_RT	1.234010	1	0
33.945100	3.516110	event_reject_ingroup	1.897730	5	0
33.945100	3.516110	event_ingroup	1.897730	5	0
33.945100	0	event_RT	1.897730	5	0
47.470600	3.515910	event_accept_outgroup	2.350060	8	1
47.470600	3.515910	event_outgroup	2.350060	8	1
47.470600	33.500000	block_outgroup_fair	n/a	n/a	n/a
51.745300	3.517090	event_accept_outgroup	1.227850	10	1
51.745300	3.517090	event_outgroup	1.227850	10	1
51.745300	0	event_RT	1.227850	10	1
56.020000	3.515750	event_reject_outgroup	1.407200	5	1
56.020000	3.515750	event_outgroup	1.407200	5	1
56.020000	0	event_RT	1.407200	5	1
60.293500	3.516130	event_reject_outgroup	1.153520	7	1
60.293500	3.516130	event_outgroup	1.153520	7	1
60.293500	0	event_RT	1.153520	7	1
64.566600	3.516070	event_accept_outgroup	1.284090	9	1
64.566600	3.516070	event_outgroup	1.284090	9	1
64.566600	0	event_RT	1.284090	9	1
68.840100	3.516630	event_reject_outgroup	1.380630	8	1
68.840100	3.516630	event_outgroup	1.380630	8	1
68.840100	0	event_RT	1.380630	8	1
73.114100	3.516450	event_reject_outgroup	1.026390	4	1
73.114100	3.516450	event_outgroup	1.026390	4	1
73.114100	0	event_RT	1.026390	4	1
77.388800	3.515860	event_reject_outgroup	2.206380	7	1
77.388800	3.515860	event_outgroup	2.206380	7	1
77.388800	0	event_RT	2.206380	7	1
88.911900	3.516530	event_reject_outgroup	1.375410	4	0
88.911900	3.516530	event_outgroup	1.375410	4	0
88.911900	33.500000	block_outgroup_unfair	n/a	n/a	n/a
93.186300	3.516730	event_reject_outgroup	1.020940	3	0
93.186300	3.516730	event_outgroup	1.020940	3	0
93.186300	0	event_RT	1.020940	3	0
97.460800	3.516910	event_reject_outgroup	1.032970	2	0
97.460800	3.516910	event_outgroup	1.032970	2	0
97.460800	0	event_RT	1.032970	2	0
101.735000	3.516400	event_reject_outgroup	1.029130	7	0
101.735000	3.516400	event_outgroup	1.029130	7	0
101.735000	0	event_RT	1.029130	7	0
106.008000	3.516390	event_reject_outgroup	1.026000	4	0
106.008000	3.516390	event_outgroup	1.026000	4	0
106.008000	0	event_RT	1.026000	4	0
110.282000	3.516990	event_reject_outgroup	1.021720	6	0
110.282000	3.516990	event_outgroup	1.021720	6	0
110.282000	0	event_RT	1.021720	6	0
114.557000	3.516480	event_reject_outgroup	1.018130	2	0
114.557000	3.516480	event_outgroup	1.018130	2	0
114.557000	0	event_RT	1.018130	2	0
118.830000	3.515660	event_reject_outgroup	1.031150	4	0
118.830000	3.515660	event_outgroup	1.031150	4	0
118.830000	0	event_RT	1.031150	4	0
134.354000	3.515940	event_reject_computer	2.071270	3	0
134.354000	3.515940	event_computer	2.071270	3	0
134.354000	33.500000	block_computer_unfair	n/a	n/a	n/a
138.627000	3.516360	event_reject_computer	1.017720	1	0
138.627000	3.516360	event_computer	1.017720	1	0
138.627000	0	event_RT	1.017720	1	0
142.900000	3.516710	event_reject_computer	1.031400	3	0
142.900000	3.516710	event_computer	1.031400	3	0
142.900000	0	event_RT	1.031400	3	0
147.174000	3.517360	event_reject_computer	1.027590	2	0
147.174000	3.517360	event_computer	1.027590	2	0
147.174000	0	event_RT	1.027590	2	0
151.448000	3.515680	event_accept_computer	1.857480	9	0
151.448000	3.515680	event_computer	1.857480	9	0
151.448000	0	event_RT	1.857480	9	0
155.721000	3.517180	event_reject_computer	1.187500	4	0
155.721000	3.517180	event_computer	1.187500	4	0
155.721000	0	event_RT	1.187500	4	0
159.995000	3.516900	event_reject_computer	1.017060	6	0
159.995000	3.516900	event_computer	1.017060	6	0
159.995000	0	event_RT	1.017060	6	0
164.269000	3.516650	event_reject_computer	1.029450	2	0
164.269000	3.516650	event_computer	1.029450	2	0
164.269000	0	event_RT	1.029450	2	0
179.795000	3.516130	event_reject_ingroup	1.300190	7	1
179.795000	3.516130	event_ingroup	1.300190	7	1
179.795000	33.500000	block_ingroup_fair	n/a	n/a	n/a
