onset	duration	trial_type	response_time	Offer	IsFairBlock
4.008580	3.515880	event_reject_computer	2.018170	3	0
4.008580	3.515880	event_computer	2.018170	3	0
4.008580	33.500000	block_computer_unfair	n/a	n/a	n/a
8.281970	3.516360	event_accept_computer	1.330790	8	0
8.281970	3.516360	event_computer	1.330790	8	0
8.281970	0	event_RT	1.330790	8	0
12.555400	3.516210	event_reject_computer	1.027120	4	0
12.555400	3.516210	event_computer	1.027120	4	0
12.555400	0	event_RT	1.027120	4	0
16.828400	3.515400	event_reject_computer	1.024370	5	0
16.828400	3.515400	event_computer	1.024370	5	0
16.828400	0	event_RT	1.024370	5	0
21.101500	3.517080	event_reject_computer	1.021610	4	0
21.101500	3.517080	event_computer	1.021610	4	0
21.101500	0	event_RT	1.021610	4	0
25.376100	3.517670	event_reject_computer	1.016860	3	0
25.376100	3.517670	event_computer	1.016860	3	0
25.376100	0	event_RT	1.016860	3	0
29.650700	3.516560	event_reject_computer	1.029380	3	0
29.650700	3.516560	event_computer	1.029380	3	0
29.650700	0	event_RT	1.029380	3	0
33.924700	3.517200	event_reject_computer	1.025440	2	0
33.924700	3.517200	event_computer	1.025440	2	0
33.924700	0	event_RT	1.025440	2	0
47.450500	3.516660	event_accept_outgroup	2.011730	9	1
47.450500	3.516660	event_outgroup	2.011730	9	1
47.450500	33.500000	block_outgroup_fair	n/a	n/a	n/a
51.725700	3.516170	event_accept_outgroup	1.022540	10	1
51.725700	3.516170	event_outgroup	1.022540	10	1
51.725700	0	event_RT	1.022540	10	1
55.999600	3.515880	event_accept_outgroup	1.169150	8	1
55.999600	3.515880	event_outgroup	1.169150	8	1
55.999600	0	event_RT	1.169150	8	1
60.272500	3.515150	event_accept_outgroup	1.033300	8	1
60.272500	3.515150	event_outgroup	1.033300	8	1
60.272500	0	event_RT	1.033300	8	1
64.544100	3.516180	event_reject_outgroup	1.031210	5	1
64.544100	3.516180	event_outgroup	1.031210	5	1
64.544100	0	event_RT	1.031210	5	1
68.818200	3.516930	event_accept_outgroup	1.027300	10	1
68.818200	3.516930	event_outgroup	1.027300	10	1
68.818200	0	event_RT	1.027300	10	1
73.092500	3.516430	event_accept_outgroup	1.023180	10	1
73.092500	3.516430	event_outgroup	1.023180	10	1
73.092500	0	event_RT	1.023180	10	1
77.366100	3.517380	event_reject_outgroup	1.019550	2	1
77.366100	3.517380	event_outgroup	1.019550	2	1
77.366100	0	event_RT	1.019550	2	1
90.892500	3.516700	event_accept_ingroup	1.154670	10	1
90.892500	3.516700	event_ingroup	1.154670	10	1
90.892500	33.500000	block_ingroup_fair	n/a	n/a	n/a
95.166300	3.515920	event_accept_ingroup	1.017490	8	1
95.166300	3.515920	event_ingroup	1.017490	8	1
95.166300	0	event_RT	1.017490	8	1
