age_group	similarity	n	mean	sd
younger	dissimilar	1188	0.442050749158249	0.319922717697467
older	dissimilar	1031	0.326785489815713	0.388144891284705
younger	similar	1188	0.44550797979798	0.318174101968663
older	similar	1031	0.343983375363725	0.410404119579493
