participant	run	event_candidate	git_revision	rt_source	task_trials	missed_trials	rt_rows	status	production_num_waves	candidate_num_waves	columns_compared	max_absolute_difference	relative_rmse	minimum_column_correlation	mean_column_correlation	column_correlations	best_for_run
sub-143	01	corrected	WORKTREE	companion	72	0	0	not_estimable_no_rt_rows	28								0
sub-143	01	corrected	WORKTREE	substantive	72	0	72	compared	28	9	9	0.0	0.0	0.9999999999999951	0.9999999999999987	1,1,1,1,1,1,1,1,1	1
sub-143	01	historical	02ba301	companion	72	0	0	not_estimable_no_rt_rows	28								0
sub-143	01	historical	02ba301	substantive	72	0	72	compared	28	9	9	0.0	0.0	0.9999999999999951	0.9999999999999987	1,1,1,1,1,1,1,1,1	0
sub-143	02	corrected	WORKTREE	companion	72	0	0	not_estimable_no_rt_rows	28								0
sub-143	02	corrected	WORKTREE	substantive	72	0	72	compared	28	9	9	0.0	0.0	0.9999999999999943	1.0	1,1,1,1,1,1,1,1,1	1
sub-143	02	historical	02ba301	companion	72	0	0	not_estimable_no_rt_rows	28								0
sub-143	02	historical	02ba301	substantive	72	0	72	compared	28	9	9	0.0	0.0	0.9999999999999943	1.0	1,1,1,1,1,1,1,1,1	0
sub-144	01	corrected	WORKTREE	companion	71	1	63	compared	29	9	9	2.2499142	0.13445769286872972	0.0	0.8058334173914257	0.999972606177,0.999978325944,0.982046742686,0.971449275465,0.999976813193,0.999970725433,0,0.838556606335,0.460549661289	0
sub-144	01	corrected	WORKTREE	substantive	71	1	71	compared	29	9	9	2.2499142	0.13446961975974814	0.0	0.7892409990976453	0.999972606177,0.999978325944,0.982046742686,0.971449275465,0.999976813193,0.999970725433,0,0.719410708822,0.430363794158	0
sub-144	01	historical	02ba301	companion	72	0	63	compared	29	9	9	0.0	0.0	0.9999999999999951	0.9999999999999987	1,1,1,1,1,1,1,1,1	1
sub-144	01	historical	02ba301	substantive	72	0	72	compared	29	9	9	0.0184899232	0.0018638113720293133	0.7735805830406768	0.964385676200272	1,1,1,1,1,1,1,0.905890502762,0.773580583041	0
sub-144	02	corrected	WORKTREE	companion	72	0	63	compared	27	9	9	0.05401529999999999	0.006326570916094129	-0.12289712934357135	0.8649369948546094	0.999991589329,0.999988937108,0.999993270394,0.999993269289,0.999974650339,0.999975994326,1,0.907412372251,-0.122897129344	0
sub-144	02	corrected	WORKTREE	substantive	72	0	72	compared	27	9	9	0.05401529999999999	0.0065587065375330425	0.06485748131074061	0.8736330644594895	0.999991589329,0.999988937108,0.999993270394,0.999993269289,0.999974650339,0.999975994326,1,0.79792238804,0.0648574813107	0
sub-144	02	historical	02ba301	companion	72	0	63	compared	27	9	9	0.0	0.0	0.9999999999999943	1.0	1,1,1,1,1,1,1,1,1	1
sub-144	02	historical	02ba301	substantive	72	0	72	compared	27	9	9	0.017856198	0.0019339514781690622	0.6373061861446734	0.9432962936871874	1,1,1,1,1,1,1,0.85236045704,0.637306186145	0
