offer	age_group	similarity	offer_c	linear_predictor	linear_predictor_se	predicted_probability	conf_low	conf_high
1	younger	dissimilar	-4.48918431726003	-4.40437349081798	1.55822414401272	0.0120761463727269	0.000576192258177075	0.205828821459549
1.1	younger	dissimilar	-4.38918431726003	-4.22424466693554	1.54572311670784	0.0144252523221845	0.000706936888572491	0.232432358164841
1.2	younger	dissimilar	-4.28918431726003	-4.04411584305309	1.53348739113093	0.0172233502937277	0.000866872736191673	0.261443277958298
1.3	younger	dissimilar	-4.18918431726003	-3.86398701917065	1.52152336777384	0.0205528830783616	0.00106238832022986	0.292804661312871
1.4	younger	dissimilar	-4.08918431726003	-3.6838581952882	1.50983750559385	0.0245100123378779	0.00130123458009928	0.326385963112781
1.5	younger	dissimilar	-3.98918431726003	-3.50372937140576	1.49843631249566	0.0292063049194371	0.00159280507527279	0.361976875296851
1.6	younger	dissimilar	-3.88918431726003	-3.32360054752332	1.48732633493967	0.034770366534337	0.001948470573719	0.399286015492023
1.7	younger	dissimilar	-3.78918431726003	-3.14347172364087	1.4765141466631	0.0413492825050214	0.00238197746177831	0.437945586321818
1.8	younger	dissimilar	-3.68918431726003	-2.96334289975843	1.46600633650718	0.0491096641628758	0.0029099206041536	0.477522540237752
1.9	younger	dissimilar	-3.58918431726003	-2.78321407587598	1.4558094953509	0.0582380246924147	0.0035523024310396	0.517535938493479
2	younger	dissimilar	-3.48918431726003	-2.60308525199354	1.44593020216061	0.0689401225303742	0.00433319100937227	0.55747925427636
2.1	younger	dissimilar	-3.38918431726003	-2.42295642811109	1.43637500917356	0.0814388214530473	0.00528149048144947	0.596845540209317
2.2	younger	dissimilar	-3.28918431726003	-2.24282760422865	1.42715042624391	0.0959699391661617	0.0064318372518749	0.635152861904798
2.3	younger	dissimilar	-3.18918431726003	-2.06269878034621	1.41826290439035	0.112775515347346	0.00782563427607536	0.671967329134055
2.4	younger	dissimilar	-3.08918431726003	-1.88256995646376	1.40971881859576	0.13209396182785	0.00951223319182713	0.706921456907057
2.5	younger	dissimilar	-2.98918431726003	-1.70244113258132	1.4015244499216	0.15414670799916	0.0115502690722814	0.739726358910679
2.6	younger	dissimilar	-2.88918431726003	-1.52231230869887	1.39368596701151	0.179121272536313	0.0140091442405804	0.770177225772676
2.7	younger	dissimilar	-2.78918431726003	-1.34218348481643	1.38620940707141	0.207151214597701	0.0169706445481758	0.798152456965955
2.8	younger	dissimilar	-2.68918431726003	-1.16205466093398	1.37910065642559	0.238294143046151	0.0205306521391717	0.823607524675164
2.9	younger	dissimilar	-2.58918431726003	-0.98192583705154	1.37236543076012	0.272509822670399	0.0248008910779173	0.846565057986832
3	younger	dissimilar	-2.48918431726003	-0.801797013169096	1.36600925517694	0.30964125161786	0.0299106042439277	0.8671027405926
3.1	younger	dissimilar	-2.38918431726003	-0.621668189286651	1.36003744419206	0.349402142957256	0.0360080097166734	0.885340474754489
3.2	younger	dissimilar	-2.28918431726003	-0.441539365404207	1.35445508182131	0.391374230481789	0.0432613213867366	0.901427970501805
3.3	younger	dissimilar	-2.18918431726003	-0.261410541521763	1.34926700190526	0.435016997515586	0.0518590424273159	0.915533564401472
3.4	younger	dissimilar	-2.08918431726003	-0.0812817176393181	1.34447776883108	0.479690750815359	0.0620091555146281	0.927834729347474
3.5	younger	dissimilar	-1.98918431726003	0.0988471062431255	1.34009165881416	0.524691675151053	0.0739367495776649	0.938510450487073
3.6	younger	dissimilar	-1.88918431726003	0.27897593012557	1.33611264190461	0.569295141705918	0.0878795563187739	0.9477354315296
3.7	younger	dissimilar	-1.78918431726003	0.459104754008014	1.33254436488361	0.612801777430429	0.104080847426264	0.955675960045772
3.8	younger	dissimilar	-1.68918431726003	0.639233577890459	1.32939013521259	0.654580189298578	0.122779202228163	0.962487188576322
3.9	younger	dissimilar	-1.58918431726003	0.819362401772903	1.32665290619278	0.694100978942295	0.144194839811066	0.968311564557272
4	younger	dissimilar	-1.48918431726003	0.999491225655347	1.32433526348531	0.73095853576397	0.168512562163076	0.973278150392814
4.1	younger	dissimilar	-1.38918431726003	1.17962004953779	1.32243941313142	0.764879480782454	0.195861900211983	0.977502602079287
4.2	younger	dissimilar	-1.28918431726003	1.35974887342024	1.32096717119986	0.795718880035435	0.226295774583981	0.981087610545563
4.3	younger	dissimilar	-1.18918431726003	1.53987769730268	1.31991995517299	0.823446945304511	0.259769790356981	0.984123647503991
4.4	younger	dissimilar	-1.08918431726003	1.72000652118512	1.31929877716601	0.848129676311248	0.296125008136381	0.986689892964514
4.5	younger	dissimilar	-0.989184317260027	1.90013534506757	1.31910423905441	0.86990684325997	0.335077428855106	0.988855252508995
4.6	younger	dissimilar	-0.889184317260027	2.08026416895001	1.31933652956424	0.888970110038597	0.37621723888009	0.99067939816082
4.7	younger	dissimilar	-0.789184317260027	2.26039299283246	1.31999542335784	0.905543250920473	0.419019913437474	0.992213787255468
4.8	younger	dissimilar	-0.689184317260026	2.4405218167149	1.32108028212535	0.919865560884438	0.462869596611392	0.993502629613488
4.9	younger	dissimilar	-0.589184317260027	2.62065064059735	1.32259005766976	0.932178852426698	0.507093056017843	0.994583785229127
5	younger	dissimilar	-0.489184317260027	2.80077946447979	1.32452329695068	0.942717930361238	0.551000465368804	0.995489583348338
5.1	younger	dissimilar	-0.389184317260026	2.98090828836223	1.32687814903067	0.951704136409443	0.593927879446882	0.996247559905055
5.2	younger	dissimilar	-0.289184317260027	3.16103711224468	1.32965237384691	0.959341418746694	0.635275956564575	0.996881114412416
5.3	younger	dissimilar	-0.189184317260027	3.34116593612712	1.33284335271258	0.965814358915309	0.674540341151045	0.997410090062393
5.4	younger	dissimilar	-0.0891843172600266	3.52129476000957	1.3364481004346	0.971287634338021	0.71133086102579	0.997851282370738
5.5	younger	dissimilar	0.010815682739973	3.70142358389201	1.34046327891968	0.975906474037473	0.745378792826362	0.998218882523951
5.6	younger	dissimilar	0.110815682739974	3.88155240777446	1.34488521212804	0.979797754340898	0.776533347765594	0.998524861876843
5.7	younger	dissimilar	0.210815682739973	4.0616812316569	1.3497099022238	0.98307146621246	0.804749833733839	0.998779303988502
5.8	younger	dissimilar	0.310815682739974	4.24181005553934	1.35493304676395	0.98582235937243	0.830072515939751	0.998990690299444
5.9	younger	dissimilar	0.410815682739973	4.42193887942179	1.36055005676263	0.98813162812381	0.852615110761008	0.999166145134884
6	younger	dissimilar	0.510815682739973	4.60206770330423	1.36655607546573	0.990068550095383	0.872541321992085	0.999311645232853
6.1	younger	dissimilar	0.610815682739974	4.78219652718668	1.37294599767052	0.991692023546937	0.890047107961808	0.999432198484807
6.2	younger	dissimilar	0.710815682739973	4.96232535106912	1.37971448942832	0.993051973575437	0.90534564851756	0.999531996069617
6.3	younger	dissimilar	0.810815682739974	5.14245417495157	1.3868560079724	0.994190614620933	0.918655382940271	0.999614541677331
6.4	younger	dissimilar	0.910815682739973	5.32258299883401	1.39436482172046	0.995143567973641	0.930191061568225	0.999682761067803
6.5	younger	dissimilar	1.01081568273997	5.50271182271645	1.40223503020916	0.995940840081428	0.940157492120866	0.999739094796389
6.6	younger	dissimilar	1.11081568273997	5.6828406465989	1.41046058382769	0.996607671573933	0.94874553577634	0.999785576566635
6.7	younger	dissimilar	1.21081568273997	5.86296947048134	1.41903530322861	0.997165268986643	0.956129878536853	0.999823899337602
6.8	younger	dissimilar	1.31081568273997	6.04309829436379	1.42795289830528	0.9976314318724	0.962468133557085	0.99985547101965
6.9	younger	dissimilar	1.41081568273997	6.22322711824623	1.43720698663744	0.998021087823488	0.967900891014726	0.999881461334296
7	younger	dissimilar	1.51081568273997	6.40335594212867	1.4467911113192	0.998346747241729	0.972552403753024	0.999902841188261
7.1	younger	dissimilar	1.61081568273997	6.58348476601112	1.45669875809543	0.99861888872468	0.976531667040503	0.999920415715804
7.2	younger	dissimilar	1.71081568273997	6.76361358989356	1.46692337174543	0.998846284841509	0.979933712899586	0.999934851973642
7.3	younger	dissimilar	1.81081568273997	6.94374241377601	1.4774583716643	0.999036276954183	0.982840990982494	0.999946702126347
7.4	younger	dissimilar	1.91081568273997	7.12387123765845	1.48829716660371	0.999195006661052	0.985324748701407	0.999956422834084
7.5	younger	dissimilar	2.01081568273997	7.3040000615409	1.49943316854471	0.999327610436125	0.987446354276071	0.999964391446463
7.6	younger	dissimilar	2.11081568273997	7.48412888542334	1.51085980568522	0.999438383126368	0.98925852909233	0.999970919513784
7.7	younger	dissimilar	2.21081568273997	7.66425770930578	1.52257053453363	0.999530915157114	0.99080647191044	0.999976264047905
7.8	younger	dissimilar	2.31081568273997	7.84438653318823	1.53455885110889	0.999608207581227	0.992128868533772	0.99998063689767
7.9	younger	dissimilar	2.41081568273997	8.02451535707067	1.54681830125421	0.999672768485491	0.99325878783228	0.999984212546491
8	younger	dissimilar	2.51081568273997	8.20464418095312	1.55934249007875	0.999726693730302	0.994224469548526	0.999987134591076
8.1	younger	dissimilar	2.61081568273997	8.38477300483556	1.5721250905468	0.999771734537334	0.995050011903889	0.999989521119017
8.2	younger	dissimilar	2.71081568273997	8.564901828718	1.58515985123907	0.999809354045776	0.995755968277029	0.999991469168042
8.3	younger	dissimilar	2.81081568273997	8.74503065260045	1.59844060331484	0.999840774622469	0.996359862593226	0.99999305842023
8.4	younger	dissimilar	2.91081568273997	8.9251594764829	1.61196126670664	0.999867017426933	0.996876632863789	0.999994354259579
8.5	younger	dissimilar	3.01081568273997	9.10528830036534	1.62571585558214	0.99988893549186	0.997319011775478	0.999995410300328
8.6	younger	dissimilar	3.11081568273997	9.28541712424779	1.6396984831095	0.999907241376696	0.997697852506549	0.999996270475755
8.7	younger	dissimilar	3.21081568273997	9.46554594813023	1.65390336556394	0.999922530281024	0.998022407142683	0.999996970762359
8.8	younger	dissimilar	3.31081568273997	9.64567477201267	1.66832482581409	0.99993529936065	0.998300564250113	0.999997540601844
8.9	younger	dissimilar	3.41081568273997	9.82580359589512	1.68295729622685	0.99994596386851	0.998539051376515	0.999998004072877
9	younger	dissimilar	3.51081568273997	10.0059324197776	1.69779532102975	0.999954870641114	0.998743607516599	0.999998380855878
9.1	younger	dissimilar	3.61081568273997	10.18606124366	1.71283355816891	0.999962309366212	0.998919129911069	0.999998687026743
9.2	younger	dissimilar	3.71081568273997	10.3661900675425	1.72806678070044	0.999968521996135	0.999069798949015	0.999998935709334
9.3	younger	dissimilar	3.81081568273997	10.5463188914249	1.74348987775177	0.999973710611549	0.999199184414261	0.99999913761145
9.4	younger	dissimilar	3.91081568273997	10.7264477153073	1.75909785508854	0.999978043990433	0.999310335852352	0.999999301464761
9.5	younger	dissimilar	4.01081568273997	10.9065765391898	1.77488583532099	0.999981663095258	0.999405859431387	0.999999434385645
9.6	younger	dissimilar	4.11081568273997	11.0867053630722	1.79084905778259	0.999984685656385	0.999487983321174	0.999999542170949
9.7	younger	dissimilar	4.21081568273997	11.2668341869547	1.80698287811208	0.999987210000443	0.999558613315	0.999999629540236
9.8	younger	dissimilar	4.31081568273997	11.4469630108371	1.82328276756825	0.999989318247997	0.999619380160934	0.999999700334066
9.9	younger	dissimilar	4.41081568273997	11.6270918347196	1.83974431210542	0.99999107898435	0.999671679849508	0.999999757676186
10	younger	dissimilar	4.51081568273997	11.807220658602	1.85636321123557	0.99999254949028	0.999716707916898	0.999999804106119
1	older	dissimilar	-4.48918431726003	-3.35706917900373	1.66816623546418	0.0336644360350383	0.0013228077951054	0.478148089150576
1.1	older	dissimilar	-4.38918431726003	-3.19348332480858	1.65526405991335	0.0394116946212275	0.00159736557084651	0.512705822159975
1.2	older	dissimilar	-4.28918431726003	-3.02989747061344	1.64265651681342	0.0460933349153621	0.0019276882494731	0.547285594697714
1.3	older	dissimilar	-4.18918431726003	-2.8663116164183	1.63035044138033	0.0538442479550575	0.00232478904571051	0.58155868862144
1.4	older	dissimilar	-4.08918431726003	-2.70272576222316	1.61835271077695	0.0628127065335455	0.00280177318789746	0.615205172869797
1.5	older	dissimilar	-3.98918431726003	-2.53913990802802	1.60667023266751	0.073159472413343	0.00337421193897329	0.647925688955727
