mask_id	mask_path	mask_sha256	exact_match_count	support_match_count	match_method	focal_voxels	cluster_label	cluster_voxels	overlap_voxels	focal_overlap_fraction	cluster_overlap_fraction	dice	jaccard	search_root	matched_cluster_mask	cluster_mask_modified_utc	zstat_index	gfeat_path	cope_dir	npts	mixed_yn	robust_yn	z_thresh	prob_thresh	input_count	unique_participants	sub144_input_indices	sub144_input_paths	source_copes	design_fsf_sha256	design_mat_sha256	design_con_sha256	design_grp_sha256	smoothness_path	dlh	volume	resels	cluster_table_path	cluster_table_sha256
dmn_age	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/dmn_p_in-out_y-o.nii.gz	2b09578d66e14e8c3c44ba0c7871a4987fb99150509e4b42b709e63de923896c	0	29	exact_cluster_support	26	1	26	26	1.000000	1.000000	1.000000	1.000000	srndna-ug	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_model-02_task-ultimatum_n47_flame1+2/L3_task-ultimatum_type-nppi-dmn_cnum-07_cname-in_p-out_p_twogroup_wCovs.gfeat/cope1.feat/cluster_mask_zstat3.nii.gz	2024-10-14T14:18:22.366736+00:00	3	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_model-02_task-ultimatum_n47_flame1+2/L3_task-ultimatum_type-nppi-dmn_cnum-07_cname-in_p-out_p_twogroup_wCovs.gfeat	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_model-02_task-ultimatum_n47_flame1+2/L3_task-ultimatum_type-nppi-dmn_cnum-07_cname-in_p-out_p_twogroup_wCovs.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	4c0e92e2c88a5c597de0677ca2a67e913a50477856fb82e3b84a87acc8b7c5ed	b35a34af1b5a4cb538c6c0fb5b9125e916938fe1efc4401ce7a979a6f68681ae	260fd04d09eb12e69af430595e7bbeefecf9e8c4abb71508dbca582da7915be9	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_model-02_task-ultimatum_n47_flame1+2/L3_task-ultimatum_type-nppi-dmn_cnum-07_cname-in_p-out_p_twogroup_wCovs.gfeat/cope1.feat/stats/smoothness	0.300799	56872	15.5111		
dmn_age	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/dmn_p_in-out_y-o.nii.gz	2b09578d66e14e8c3c44ba0c7871a4987fb99150509e4b42b709e63de923896c	0	29	exact_cluster_support	26	1	26	26	1.000000	1.000000	1.000000	1.000000	ultimatum	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/L3_model-02_task-ultimatum_n47_flame1+2/L3_task-ultimatum_type-nppi-dmn_cnum-07_cname-in_p-out_p_twogroup_wCovs.gfeat/cope1.feat/cluster_mask_zstat3.nii.gz	2021-08-14T18:04:34.845392+00:00	3	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/L3_model-02_task-ultimatum_n47_flame1+2/L3_task-ultimatum_type-nppi-dmn_cnum-07_cname-in_p-out_p_twogroup_wCovs.gfeat	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/L3_model-02_task-ultimatum_n47_flame1+2/L3_task-ultimatum_type-nppi-dmn_cnum-07_cname-in_p-out_p_twogroup_wCovs.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/data/projects/srndna-ultimatum/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-dmn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	b0702dc4715f906f4c38948a5a328170c67d2e814212b2775c6aaa1e80544b4f	b35a34af1b5a4cb538c6c0fb5b9125e916938fe1efc4401ce7a979a6f68681ae	260fd04d09eb12e69af430595e7bbeefecf9e8c4abb71508dbca582da7915be9	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/L3_model-02_task-ultimatum_n47_flame1+2/L3_task-ultimatum_type-nppi-dmn_cnum-07_cname-in_p-out_p_twogroup_wCovs.gfeat/cope1.feat/stats/smoothness	0.300799	56872	15.5111		
ecn_sensitivity	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/ecn_p_in-out_o-y_sens-logit.nii.gz	cb454d0eb557f1468d9461a71fabfea59031266e2dceb9817a97e1104919dcd2	0	37	exact_cluster_support	23	1	23	23	1.000000	1.000000	1.000000	1.000000	srndna-ug	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_SANS/manu_L3/L3_task-ug_type-nppi-ecn_cnum-07_cname-in_p-out_p_twogroup_wCovs_in-out_sensitivity2.gfeat/cope1.feat/cluster_mask_zstat1.nii.gz	2025-04-11T13:41:54.921776+00:00	1	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_SANS/manu_L3/L3_task-ug_type-nppi-ecn_cnum-07_cname-in_p-out_p_twogroup_wCovs_in-out_sensitivity2.gfeat	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_SANS/manu_L3/L3_task-ug_type-nppi-ecn_cnum-07_cname-in_p-out_p_twogroup_wCovs_in-out_sensitivity2.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-nppi-ecn_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	b25874191fb40da7fcc27deac03ae23c7b7f5f3d30a4c9eb82a4dedc97040096	a91c6f46c9f421d0ef352a6030dd6c19d3b58f78c6119a61ae1ef6ed26c610bc	b2910298424e81a48dc5cdc892ebcfcacb6e0af8be9a6afc788111a9421ac3ea	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_SANS/manu_L3/L3_task-ug_type-nppi-ecn_cnum-07_cname-in_p-out_p_twogroup_wCovs_in-out_sensitivity2.gfeat/cope1.feat/stats/smoothness	0.331876	56872	14.0378		
activation	/ZPOOL/data/projects/srndna-ultimatum/masks_SANS/act_p_in-out_o-y_norm-logit.nii.gz	a0ceaf947d1be84604bcbe6043b747fb8a0ba8a94e3796aaed051dfb46007706	0	20	exact_cluster_support	161	1	161	161	1.000000	1.000000	1.000000	1.000000	srndna-ug	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_SANS/archive/L3_task-ug_type-act_cnum-07_cname-in_p-out_p_twogroup_wCovs_in-out_norm2_logit.gfeat/cope1.feat/cluster_mask_zstat1.nii.gz	2025-04-12T09:21:38.456043+00:00	1	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_SANS/archive/L3_task-ug_type-act_cnum-07_cname-in_p-out_p_twogroup_wCovs_in-out_norm2_logit.gfeat	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_SANS/archive/L3_task-ug_type-act_cnum-07_cname-in_p-out_p_twogroup_wCovs_in-out_norm2_logit.gfeat/cope1.feat	47	1	0	3.1	0.05	47	47	35	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-144/L2_task-ultimatum_model-02_type-act_sm-6.gfeat/cope7.feat/stats/cope1.nii.gz	7	16de97759f1fb2fff507b548c492f30157ce37c2e2a4d1708f90919fc72a314d	145350c56578bff2d7543dbb90645f5a61846796d54a20904aaa8bc93d45c6fe	ddb3294d73b2e4c1c0eb6228891700f26f5ef647c90065cb4128f87510a3f8d4	6692c23c4c2a7d456f75f60ea843637b4ce7cf40ee37750253b4c72bbb518dbf	/ZPOOL/data/projects/srndna-ug/derivatives/fsl/L3_SANS/archive/L3_task-ug_type-act_cnum-07_cname-in_p-out_p_twogroup_wCovs_in-out_norm2_logit.gfeat/cope1.feat/stats/smoothness	0.205028	56872	22.7228		
